MPN,Manufacturer,Description,Subcategory,Stock,Unit Price,Package,Mounting Type,Status,Datasheet URL,Product URL,Current - Output (Max),Fault Protection,Features,Grade,Input Type,Interface,Number of Outputs,Operating Temperature,Output Configuration,Output Type,Qualification,Ratio - Input:Output,Rds On (Typ),Series,Switch Type,Voltage - Load,Voltage - Supply (Vcc/Vdd)
TPS22810DRVT,Texas Instruments,IC PWR SWITCH N-CHAN 1:1 6WSON,pmic-battery-management,9886,1.28,6-WDFN Exposed Pad,Surface Mount,Active,,https://www.digikey.com/en/products/detail/texas-instruments/TPS22810DRVT/7356138,3A,"Over Temperature, UVLO","Load Discharge, Slew Rate Controlled",,Non-Inverting,On/Off,1,-40°C ~ 105°C (TA),High Side,N-Channel,,1:1,79mOhm,,General Purpose,2.7V ~ 18V,Not Required
TPS22810TDBVRQ1,Texas Instruments,IC PWR SWITCH N-CHAN 1:1 SOT23-6,pmic-battery-management,42253,0.72,SOT-23-6,Surface Mount,Active,,https://www.digikey.com/en/products/detail/texas-instruments/TPS22810TDBVRQ1/8604617,2A,"Over Temperature, UVLO","Load Discharge, Slew Rate Controlled",Automotive,Non-Inverting,On/Off,1,-40°C ~ 105°C (TA),High Side,N-Channel,AEC-Q100,1:1,79mOhm,,General Purpose,2.7V ~ 18V,2.7V ~ 18V
TPS22811LRPWR,Texas Instruments,"2.7-V TO 16-V, 10-A, 6-M LOAD SW",pmic-battery-management,21490,1.24,10-VFQFN,Surface Mount,Active,https://www.ti.com/lit/ds/symlink/tps22811.pdf,https://www.digikey.com/en/products/detail/texas-instruments/TPS22811LRPWR/16692335,10A,"Current Limiting (Fixed), Over Temperature, Over Voltage, Short Circuit, UVLO",Slew Rate Controlled,,Non-Inverting,On/Off,1,-40°C ~ 125°C (TJ),High Side,N-Channel,,1:1,6mOhm,,General Purpose,2.7V ~ 16V,Not Required
TPS22860DBVR,Texas Instruments,IC PWR SWITCH 1:1 SOT23-6,pmic-battery-management,48093,1.15,SOT-23-6,Surface Mount,Active,,https://www.digikey.com/en/products/detail/texas-instruments/TPS22860DBVR/5250359,200mA,,,,,On/Off,1,-40°C ~ 85°C (TA),High Side,,,1:1,920mOhm,,General Purpose,1.65V ~ 5.5V,Not Required
TPS22901YFPR,Texas Instruments,IC PWR SWITCH P-CHAN 1:1 4DSBGA,pmic-battery-management,33602,0.87,"4-XFBGA, DSBGA",Surface Mount,Active,,https://www.digikey.com/en/products/detail/texas-instruments/TPS22901YFPR/2027427,500mA,,Slew Rate Controlled,,Non-Inverting,On/Off,1,-40°C ~ 85°C (TA),High Side,P-Channel,,1:1,78mOhm,,General Purpose,1V ~ 3.6V,Not Required
TPS22902BYFPR,Texas Instruments,IC PWR SWITCH P-CHAN 1:1 4DSBGA,pmic-battery-management,1156,0.74,"4-XFBGA, DSBGA",Surface Mount,Active,,https://www.digikey.com/en/products/detail/texas-instruments/TPS22902BYFPR/1907675,500mA,,"Load Discharge, Slew Rate Controlled",,Non-Inverting,On/Off,1,-40°C ~ 85°C (TA),High Side,P-Channel,,1:1,78mOhm,,General Purpose,1V ~ 3.6V,Not Required
TPS22902YFPR,Texas Instruments,IC PWR SWITCH P-CHAN 1:1 4DSBGA,pmic-battery-management,28594,0.74,"4-XFBGA, DSBGA",Surface Mount,Active,,https://www.digikey.com/en/products/detail/texas-instruments/TPS22902YFPR/2057675,500mA,,"Load Discharge, Slew Rate Controlled",,Non-Inverting,On/Off,1,-40°C ~ 85°C (TA),High Side,P-Channel,,1:1,78mOhm,,General Purpose,1V ~ 3.6V,Not Required
TPS22904YFPR,Texas Instruments,IC PWR SWITCH P-CHAN 1:1 4DSBGA,pmic-battery-management,1043,0.91,"4-XFBGA, DSBGA",Surface Mount,Active,,https://www.digikey.com/en/products/detail/texas-instruments/TPS22904YFPR/2268973,500mA,,"Load Discharge, Slew Rate Controlled",,Non-Inverting,On/Off,1,-40°C ~ 85°C (TA),High Side,P-Channel,,1:1,66mOhm,,General Purpose,1.1V ~ 3.6V,Not Required
TPS22907YZTR,Texas Instruments,IC PWR SWITCH P-CHAN 1:1 4DSBGA,pmic-battery-management,12628,1.0,"4-UFBGA, DSBGA",Surface Mount,Not For New Designs,,https://www.digikey.com/en/products/detail/texas-instruments/TPS22907YZTR/2261995,1A,,Slew Rate Controlled,,Non-Inverting,On/Off,1,-40°C ~ 85°C (TA),High Side,P-Channel,,1:1,44mOhm,,General Purpose,1.1V ~ 3.6V,Not Required
TPS22908YZTR,Texas Instruments,IC PWR SWITCH P-CHAN 1:1 4DSBGA,pmic-battery-management,74368,0.67,"4-UFBGA, DSBGA",Surface Mount,Active,,https://www.digikey.com/en/products/detail/texas-instruments/TPS22908YZTR/3533112,1A,,"Load Discharge, Slew Rate Controlled",,Non-Inverting,On/Off,1,-40°C ~ 85°C (TA),High Side,P-Channel,,1:1,28.2mOhm,,General Purpose,1V ~ 3.6V,Not Required
TPS22908YZTT,Texas Instruments,IC PWR SWITCH P-CHAN 1:1 4DSBGA,pmic-battery-management,3388,1.33,"4-UFBGA, DSBGA",Surface Mount,Active,,https://www.digikey.com/en/products/detail/texas-instruments/TPS22908YZTT/3588754,1A,,"Load Discharge, Slew Rate Controlled",,Non-Inverting,On/Off,1,-40°C ~ 85°C (TA),High Side,P-Channel,,1:1,28.2mOhm,,General Purpose,1V ~ 3.6V,Not Required
TPS22910AYZVR,Texas Instruments,IC PWR SWITCH P-CHAN 1:1 4DSBGA,pmic-battery-management,8809,0.79,"4-XFBGA, DSBGA",Surface Mount,Active,,https://www.digikey.com/en/products/detail/texas-instruments/TPS22910AYZVR/2780887,2A,"Reverse Current, UVLO",Slew Rate Controlled,,Non-Inverting,On/Off,1,-40°C ~ 85°C (TA),High Side,P-Channel,,1:1,60mOhm,,General Purpose,1.4V ~ 5.5V,Not Required
TPS22910AYZVT,Texas Instruments,IC PWR SWITCH P-CHAN 1:1 4DSBGA,pmic-battery-management,1613,1.38,"4-XFBGA, DSBGA",Surface Mount,Active,,https://www.digikey.com/en/products/detail/texas-instruments/TPS22910AYZVT/2833410,2A,"Reverse Current, UVLO",Slew Rate Controlled,,Non-Inverting,On/Off,1,-40°C ~ 85°C (TA),High Side,P-Channel,,1:1,60mOhm,,General Purpose,1.4V ~ 5.5V,Not Required
TPS22912CYZVR,Texas Instruments,IC PWR SWITCH P-CHAN 1:1 4DSBGA,pmic-battery-management,12956,0.72,"4-XFBGA, DSBGA",Surface Mount,Active,,https://www.digikey.com/en/products/detail/texas-instruments/TPS22912CYZVR/3314295,2A,"Reverse Current, UVLO",Slew Rate Controlled,,Non-Inverting,On/Off,1,-40°C ~ 85°C (TA),High Side,P-Channel,,1:1,60mOhm,,General Purpose,1.4V ~ 5.5V,Not Required
TPS22913BYZVR,Texas Instruments,IC PWR SWITCH P-CHAN 1:1 4DSBGA,pmic-battery-management,5841,0.72,"4-XFBGA, DSBGA",Surface Mount,Active,,https://www.digikey.com/en/products/detail/texas-instruments/TPS22913BYZVR/2762558,2A,"Reverse Current, UVLO","Load Discharge, Slew Rate Controlled",,Non-Inverting,On/Off,1,-40°C ~ 85°C (TA),High Side,P-Channel,,1:1,60mOhm,,General Purpose,1.4V ~ 5.5V,Not Required
