MPN,Manufacturer,Description,Subcategory,Stock,Unit Price,Package,Mounting Type,Status,Datasheet URL,Product URL,Current - Output (Max),Fault Protection,Features,Grade,Input Type,Interface,Number of Outputs,Operating Temperature,Output Configuration,Output Type,Qualification,Ratio - Input:Output,Rds On (Typ),Series,Switch Type,Voltage - Load,Voltage - Supply (Vcc/Vdd)
NCL30125A2DR2G,onsemi,IC PWM CONTROLLER 16SOIC,pmic-battery-management,4915,1.66,"16-SOIC (0.154"", 3.90mm Width), 14 Leads",Surface Mount,Active,https://www.onsemi.com/download/data-sheet/pdf/ncl30125-d.pdf,https://www.digikey.com/en/products/detail/onsemi/NCL30125A2DR2G/12525424,1.2A,,,,Non-Inverting,,2,150°C (TJ),High Side or Low Side,N-Channel,,1:1,,,General Purpose,35V,Not Required
NCL30125B2DR2G,onsemi,IC PWM CONTROLLER 16SOIC,pmic-battery-management,2171,1.66,"16-SOIC (0.154"", 3.90mm Width), 14 Leads",Surface Mount,Active,https://www.onsemi.com/download/data-sheet/pdf/ncl30125-d.pdf,https://www.digikey.com/en/products/detail/onsemi/NCL30125B2DR2G/12525780,1.2A,,,,Non-Inverting,,2,150°C (TJ),High Side or Low Side,N-Channel,,1:1,,,General Purpose,35V,Not Required
NCP330MUTBG,onsemi,IC PWR SWITCH N-CHAN 1:1 4UDFN,pmic-battery-management,27353,0.62,4-UFDFN Exposed Pad,Surface Mount,Active,https://www.onsemi.com/pdf/datasheet/ncp330-d.pdf,https://www.digikey.com/en/products/detail/onsemi/NCP330MUTBG/3536732,3A,,Slew Rate Controlled,,Non-Inverting,On/Off,1,-40°C ~ 125°C (TJ),High Side,N-Channel,,1:1,26mOhm,,General Purpose,1.8V ~ 5.5V,Not Required
NCP333FCT2G,onsemi,IC PWR SWITCH P-CHAN 1:1 4WLCSP,pmic-battery-management,23113,0.33,"4-UFBGA, WLCSP",Surface Mount,Active,https://www.onsemi.com/pdf/datasheet/ncp333-d.pdf,https://www.digikey.com/en/products/detail/onsemi/NCP333FCT2G/4848344,1.5A,,"Load Discharge, Slew Rate Controlled",,Non-Inverting,On/Off,1,-40°C ~ 125°C (TJ),High Side,P-Channel,,1:1,45mOhm,,General Purpose,1.2V ~ 5.5V,Not Required
NCP335FCT2G,onsemi,IC PWR SWITCH P-CHAN 1:1 4WLCSP,pmic-battery-management,1581,0.42,"4-UFBGA, WLCSP",Surface Mount,Active,https://www.onsemi.com/pdf/datasheet/ncp334-d.pdf,https://www.digikey.com/en/products/detail/onsemi/NCP335FCT2G/4848346,2A,,"Load Discharge, Slew Rate Controlled",,Non-Inverting,On/Off,1,-40°C ~ 125°C (TJ),High Side,P-Channel,,1:1,38Ohm,,General Purpose,1.2V ~ 5.5V,Not Required
NCP340MUTBG,onsemi,IC PWR SWITCH N-CHAN 1:1 4UDFN,pmic-battery-management,2618,0.62,4-UFDFN Exposed Pad,Surface Mount,Active,https://www.onsemi.com/pdf/datasheet/ncp340-d.pdf,https://www.digikey.com/en/products/detail/onsemi/NCP340MUTBG/4848351,3A,,Slew Rate Controlled,,Non-Inverting,On/Off,1,-40°C ~ 85°C (TA),High Side,N-Channel,,1:1,26mOhm,,General Purpose,1.8V ~ 5.5V,Not Required
NCP380HMU05AATBG,onsemi,IC PWR SWITCH P-CHAN 1:1 6UDFN,pmic-battery-management,4194,0.55,6-UDFN Exposed Pad,Surface Mount,Active,https://www.onsemi.com/pdf/datasheet/ncp380-d.pdf,https://www.digikey.com/en/products/detail/onsemi/NCP380HMU05AATBG/2657669,500mA,"Current Limiting (Fixed), UVLO","Enable Input High, Slew Rate Controlled, Status Flag",,Non-Inverting,On/Off,1,-40°C ~ 85°C (TA),High Side,P-Channel,,1:1,55mOhm,,General Purpose,2.5V ~ 5.5V,Not Required
NCP380HMU10AATBG,onsemi,IC PWR SWITCH P-CHAN 1:1 6UDFN,pmic-battery-management,8380,0.61,6-UDFN Exposed Pad,Surface Mount,Active,https://www.onsemi.com/pdf/datasheet/ncp380-d.pdf,https://www.digikey.com/en/products/detail/onsemi/NCP380HMU10AATBG/2651941,1A,"Current Limiting (Fixed), UVLO","Enable Input High, Slew Rate Controlled, Status Flag",,Non-Inverting,On/Off,1,-40°C ~ 85°C (TA),High Side,P-Channel,,1:1,55mOhm,,General Purpose,2.5V ~ 5.5V,Not Required
NCP380HMU15AATBG,onsemi,IC PWR SWITCH P-CHAN 1:1 6UDFN,pmic-battery-management,2685,0.61,6-UDFN Exposed Pad,Surface Mount,Active,https://www.onsemi.com/pdf/datasheet/ncp380-d.pdf,https://www.digikey.com/en/products/detail/onsemi/NCP380HMU15AATBG/2651942,1.5A,"Current Limiting (Fixed), UVLO","Enable Input High, Slew Rate Controlled, Status Flag",,Non-Inverting,On/Off,1,-40°C ~ 85°C (TA),High Side,P-Channel,,1:1,55mOhm,,General Purpose,2.5V ~ 5.5V,Not Required
NCP380HMU21AATBG,onsemi,IC PWR SWITCH P-CHAN 1:1 6UDFN,pmic-battery-management,4013,0.61,6-UDFN Exposed Pad,Surface Mount,Active,https://www.onsemi.com/pdf/datasheet/ncp380-d.pdf,https://www.digikey.com/en/products/detail/onsemi/NCP380HMU21AATBG/3062092,2.1A,"Current Limiting (Fixed), UVLO","Enable Input High, Slew Rate Controlled, Status Flag",,Non-Inverting,On/Off,1,-40°C ~ 85°C (TA),High Side,P-Channel,,1:1,55mOhm,,General Purpose,2.5V ~ 5.5V,Not Required
NCP380HMUAJAATBG,onsemi,IC PWR SWITCH P-CHAN 1:1 6UDFN,pmic-battery-management,0,0.61,6-UDFN Exposed Pad,Surface Mount,Active,https://www.onsemi.com/pdf/datasheet/ncp380-d.pdf,https://www.digikey.com/en/products/detail/onsemi/NCP380HMUAJAATBG/2651943,Adjustable,"Current Limiting (Adjustable), UVLO","Enable Input High, Slew Rate Controlled, Status Flag",,Non-Inverting,On/Off,1,-40°C ~ 85°C (TA),High Side,P-Channel,,1:1,55mOhm,,General Purpose,2.5V ~ 5.5V,Not Required
NCP380HSN05AAT1G,onsemi,IC PWR SWITCH P-CHAN 1:1 5TSOP,pmic-battery-management,30101,0.65,"SOT-23-5 Thin, TSOT-23-5",Surface Mount,Active,https://www.onsemi.com/pdf/datasheet/ncp380-d.pdf,https://www.digikey.com/en/products/detail/onsemi/NCP380HSN05AAT1G/2651944,500mA,"Current Limiting (Fixed), UVLO","Enable Input High, Slew Rate Controlled, Status Flag",,Non-Inverting,On/Off,1,-40°C ~ 85°C (TA),High Side,P-Channel,,1:1,70mOhm,,General Purpose,2.5V ~ 5.5V,Not Required
NCP380HSN10AAT1G,onsemi,IC PWR SWITCH P-CHAN 1:1 5TSOP,pmic-battery-management,7851,0.68,"SOT-23-5 Thin, TSOT-23-5",Surface Mount,Active,https://www.onsemi.com/pdf/datasheet/ncp380-d.pdf,https://www.digikey.com/en/products/detail/onsemi/NCP380HSN10AAT1G/2657670,1A,"Current Limiting (Fixed), UVLO","Enable Input High, Slew Rate Controlled, Status Flag",,Non-Inverting,On/Off,1,-40°C ~ 85°C (TA),High Side,P-Channel,,1:1,70mOhm,,General Purpose,2.5V ~ 5.5V,Not Required
NCP380HSNAJAAT1G,onsemi,IC PWR SWITCH P-CHAN 1:1 6TSOP,pmic-battery-management,30567,0.68,"SOT-23-6 Thin, TSOT-23-6",Surface Mount,Active,https://www.onsemi.com/pdf/datasheet/ncp380-d.pdf,https://www.digikey.com/en/products/detail/onsemi/NCP380HSNAJAAT1G/2657671,Adjustable,"Current Limiting (Adjustable), UVLO","Enable Input High, Slew Rate Controlled, Status Flag",,Non-Inverting,On/Off,1,-40°C ~ 85°C (TA),High Side,P-Channel,,1:1,70mOhm,,General Purpose,2.5V ~ 5.5V,Not Required
NCP380LMU05AATBG,onsemi,IC PWR SWITCH P-CHAN 1:1 6UDFN,pmic-battery-management,3152,0.55,6-UDFN Exposed Pad,Surface Mount,Active,https://www.onsemi.com/pdf/datasheet/ncp380-d.pdf,https://www.digikey.com/en/products/detail/onsemi/NCP380LMU05AATBG/2657668,500mA,"Current Limiting (Fixed), UVLO","Enable Input Low, Slew Rate Controlled, Status Flag",,Non-Inverting,On/Off,1,-40°C ~ 85°C (TA),High Side,P-Channel,,1:1,55mOhm,,General Purpose,2.5V ~ 5.5V,Not Required
NCP380LMUAJAATBG,onsemi,IC PWR SWITCH P-CHAN 1:1 6UDFN,pmic-battery-management,34307,0.67,6-UDFN Exposed Pad,Surface Mount,Active,https://www.onsemi.com/pdf/datasheet/ncp380-d.pdf,https://www.digikey.com/en/products/detail/onsemi/NCP380LMUAJAATBG/2651947,Adjustable,"Current Limiting (Adjustable), UVLO","Enable Input Low, Slew Rate Controlled, Status Flag",,Non-Inverting,On/Off,1,-40°C ~ 85°C (TA),High Side,P-Channel,,1:1,55mOhm,,General Purpose,2.5V ~ 5.5V,Not Required
NCP380LSN05AAT1G,onsemi,IC PWR SWITCH P-CHAN 1:1 5TSOP,pmic-battery-management,5904,0.6,"SOT-23-5 Thin, TSOT-23-5",Surface Mount,Active,https://www.onsemi.com/pdf/datasheet/ncp380-d.pdf,https://www.digikey.com/en/products/detail/onsemi/NCP380LSN05AAT1G/2651948,500mA,"Current Limiting (Fixed), UVLO","Enable Input Low, Slew Rate Controlled, Status Flag",,Non-Inverting,On/Off,1,-40°C ~ 85°C (TA),High Side,P-Channel,,1:1,70mOhm,,General Purpose,2.5V ~ 5.5V,Not Required
NCP380LSN10AAT1G,onsemi,IC PWR SWITCH P-CHAN 1:1 5TSOP,pmic-battery-management,10342,0.62,"SOT-23-5 Thin, TSOT-23-5",Surface Mount,Active,https://www.onsemi.com/pdf/datasheet/ncp380-d.pdf,https://www.digikey.com/en/products/detail/onsemi/NCP380LSN10AAT1G/2657672,1A,"Current Limiting (Fixed), UVLO","Enable Input Low, Slew Rate Controlled, Status Flag",,Non-Inverting,On/Off,1,-40°C ~ 85°C (TA),High Side,P-Channel,,1:1,70mOhm,,General Purpose,2.5V ~ 5.5V,Not Required
NCP380LSNAJAAT1G,onsemi,IC PWR SWITCH P-CHAN 1:1 6TSOP,pmic-battery-management,6748,0.68,"SOT-23-6 Thin, TSOT-23-6",Surface Mount,Active,https://www.onsemi.com/pdf/datasheet/ncp380-d.pdf,https://www.digikey.com/en/products/detail/onsemi/NCP380LSNAJAAT1G/2657673,Adjustable,"Current Limiting (Adjustable), UVLO","Enable Input Low, Slew Rate Controlled, Status Flag",,Non-Inverting,On/Off,1,-40°C ~ 85°C (TA),High Side,P-Channel,,1:1,70mOhm,,General Purpose,2.5V ~ 5.5V,Not Required
NCP382HD05AAR2G,onsemi,IC PWR SWITCH P-CHAN 1:2 8SOIC,pmic-battery-management,5445,0.71,"8-SOIC (0.154"", 3.90mm Width)",Surface Mount,Active,https://www.onsemi.com/pdf/datasheet/ncp382-d.pdf,https://www.digikey.com/en/products/detail/onsemi/NCP382HD05AAR2G/4848353,500mA,"Current Limiting (Fixed), Over Temperature, UVLO","Slew Rate Controlled, Status Flag",,Non-Inverting,On/Off,2,-40°C ~ 85°C (TA),High Side,P-Channel,,1:2,80mOhm,,General Purpose,2.5V ~ 5.5V,Not Required
NCP382LD05AAR2G,onsemi,IC PWR SWITCH P-CHAN 1:2 8SOIC,pmic-battery-management,0,0.2,"8-SOIC (0.154"", 3.90mm Width)",Surface Mount,Obsolete,https://www.onsemi.com/pdf/datasheet/ncp382-d.pdf,https://www.digikey.com/en/products/detail/onsemi/NCP382LD05AAR2G/4848354,500mA,"Current Limiting (Fixed), Over Temperature, UVLO","Slew Rate Controlled, Status Flag",,Non-Inverting,On/Off,2,-40°C ~ 85°C (TA),High Side,P-Channel,,1:2,80mOhm,,General Purpose,2.5V ~ 5.5V,Not Required
NCP383LMUAJAATXG,onsemi,IC PWR SWITCH N-CHAN 1:2 10UDFN,pmic-battery-management,7020,0.9,10-UFDFN Exposed Pad,Surface Mount,Active,https://www.onsemi.com/pdf/datasheet/ncp383-d.pdf,https://www.digikey.com/en/products/detail/onsemi/NCP383LMUAJAATXG/5257766,2.5A,"Current Limiting (Adjustable), Over Temperature, UVLO","Slew Rate Controlled, Status Flag",,Non-Inverting,On/Off,2,-40°C ~ 85°C (TA),High Side,N-Channel,,1:2,45mOhm,,General Purpose,2.7V ~ 5.5V,Not Required
NCP451AFCT2G,onsemi,IC PWR SWITCH N-CHAN 1:1 6WLCSP,pmic-battery-management,1824,0.57,"6-UFBGA, WLCSP",Surface Mount,Active,https://www.onsemi.com/pdf/datasheet/ncp451-d.pdf,https://www.digikey.com/en/products/detail/onsemi/NCP451AFCT2G/5257778,3A,,"Load Discharge, Slew Rate Controlled",,Non-Inverting,On/Off,1,-40°C ~ 85°C (TA),High Side,N-Channel,,1:1,12mOhm,,General Purpose,0.75V ~ 5.5V,Not Required
NCP451AFCT2GA,onsemi,3A LOW RON LOAD SWITCH WITH AUTO,pmic-battery-management,3000,0.6,"6-UFBGA, WLCSP",Surface Mount,Active,https://www.onsemi.com/pdf/datasheet/ncp451-d.pdf,https://www.digikey.com/en/products/detail/onsemi/NCP451AFCT2GA/26926823,3A,,Load Discharge,,Non-Inverting,On/Off,1,-40°C ~ 85°C (TA),High Side,N-Channel,,1:1,12mOhm,,General Purpose,0.75V ~ 5.5V,Not Required
NCP451FCT2G,onsemi,IC PWR SWITCH N-CHAN 1:1 6WLCSP,pmic-battery-management,0,0.55,"6-UFBGA, WLCSP",Surface Mount,Active,https://www.onsemi.com/pdf/datasheet/ncp451-d.pdf,https://www.digikey.com/en/products/detail/onsemi/NCP451FCT2G/5257779,3A,,"Load Discharge, Slew Rate Controlled",,Non-Inverting,On/Off,1,-40°C ~ 85°C (TA),High Side,N-Channel,,1:1,12mOhm,,General Purpose,0.75V ~ 5.5V,Not Required
NCP45520IMNTWG-L,onsemi,IC PWR SWITCH N-CHAN 1:1 8DFN,pmic-battery-management,12847,1.37,8-VFDFN Exposed Pad,Surface Mount,Active,https://www.onsemi.com/pdf/datasheet/ncp45520-d.pdf,https://www.digikey.com/en/products/detail/onsemi/NCP45520IMNTWG-L/5257784,10.5A,"Over Temperature, UVLO",Slew Rate Controlled,,Non-Inverting,On/Off,1,-40°C ~ 85°C (TA),High Side,N-Channel,,1:1,12.8mOhm,ecoSWITCH™,General Purpose,0.5V ~ 13.5V,3V ~ 5.5V
NCP45521IMNTWG-H,onsemi,IC PWR SWITCH N-CHAN 1:1 8DFN,pmic-battery-management,525,1.37,8-VFDFN Exposed Pad,Surface Mount,Active,https://www.onsemi.com/pdf/datasheet/ncp45520-d.pdf,https://www.digikey.com/en/products/detail/onsemi/NCP45521IMNTWG-H/5257785,10.5A,"Over Temperature, UVLO",Slew Rate Controlled,,Non-Inverting,On/Off,1,-40°C ~ 85°C (TA),High Side,N-Channel,,1:1,12.8mOhm,ecoSWITCH™,General Purpose,0.5V ~ 13.5V,3V ~ 5.5V
NCP45521IMNTWG-L,onsemi,IC PWR SWITCH N-CHAN 1:1 8DFN,pmic-battery-management,6175,1.37,8-VFDFN Exposed Pad,Surface Mount,Active,https://www.onsemi.com/pdf/datasheet/ncp45520-d.pdf,https://www.digikey.com/en/products/detail/onsemi/NCP45521IMNTWG-L/5257786,10.5A,"Over Temperature, UVLO",Slew Rate Controlled,,Non-Inverting,On/Off,1,-40°C ~ 85°C (TA),High Side,N-Channel,,1:1,12.8mOhm,ecoSWITCH™,General Purpose,0.5V ~ 13.5V,3V ~ 5.5V
NCP45524IMNTWG-H,onsemi,IC PWR SWITCH N-CHAN 1:1 8DFN,pmic-battery-management,55400,1.37,8-VFDFN Exposed Pad,Surface Mount,Active,https://www.onsemi.com/pdf/datasheet/ncp45524-d.pdf,https://www.digikey.com/en/products/detail/onsemi/NCP45524IMNTWG-H/5257787,6A,,Power Good,,Non-Inverting,On/Off,1,-40°C ~ 85°C (TA),High Side,N-Channel,,1:1,18mOhm,ecoSWITCH™,General Purpose,0.5V ~ 13.5V,3V ~ 5.5V
NCP45525IMNTWG-H,onsemi,IC PWR SWITCH N-CHAN 1:1 8DFN,pmic-battery-management,13534,1.3,8-VFDFN Exposed Pad,Surface Mount,Active,https://www.onsemi.com/pdf/datasheet/ncp45524-d.pdf,https://www.digikey.com/en/products/detail/onsemi/NCP45525IMNTWG-H/5257789,6A,,Slew Rate Controlled,,Non-Inverting,On/Off,1,-40°C ~ 85°C (TA),High Side,N-Channel,,1:1,18mOhm,ecoSWITCH™,General Purpose,0.5V ~ 13.5V,3V ~ 5.5V
NCP45540IMNTWG-H,onsemi,IC PWR SWITCH N-CHAN 1:1 12DFN,pmic-battery-management,7015,1.9,12-VFDFN Exposed Pad,Surface Mount,Active,https://www.onsemi.com/pdf/datasheet/ncp45540-d.pdf,https://www.digikey.com/en/products/detail/onsemi/NCP45540IMNTWG-H/5257791,14A,"Over Temperature, UVLO","Power Good, Slew Rate Controlled",,Non-Inverting,On/Off,1,-40°C ~ 85°C (TA),High Side,N-Channel,,1:1,4.8mOhm,ecoSWITCH™,General Purpose,0.5V ~ 13.5V,3V ~ 5.5V
NCP45540IMNTWG-L,onsemi,IC PWR SWITCH N-CHAN 1:1 12DFN,pmic-battery-management,2985,1.88,12-VFDFN Exposed Pad,Surface Mount,Active,https://www.onsemi.com/pdf/datasheet/ncp45540-d.pdf,https://www.digikey.com/en/products/detail/onsemi/NCP45540IMNTWG-L/5257792,14A,"Over Temperature, UVLO","Power Good, Slew Rate Controlled",,Non-Inverting,On/Off,1,-40°C ~ 85°C (TA),High Side,N-Channel,,1:1,4.8mOhm,ecoSWITCH™,General Purpose,0.5V ~ 13.5V,3V ~ 5.5V
NCP45541IMNTWG-H,onsemi,IC PWR SWITCH N-CHAN 1:1 12DFN,pmic-battery-management,4782,1.81,12-VFDFN Exposed Pad,Surface Mount,Active,https://www.onsemi.com/pdf/datasheet/ncp45541-d.pdf,https://www.digikey.com/en/products/detail/onsemi/NCP45541IMNTWG-H/5257793,14A,,"Power Good, Slew Rate Controlled",,Non-Inverting,On/Off,1,-40°C ~ 85°C (TA),High Side,N-Channel,,1:1,4.8mOhm,ecoSWITCH™,General Purpose,0.5V ~ 13.5V,3V ~ 5.5V
NCP45560IMNTWG-H,onsemi,IC PWR SWITCH N-CHAN 1:1 12DFN,pmic-battery-management,5779,2.36,12-VFDFN Exposed Pad,Surface Mount,Active,https://www.onsemi.com/pdf/datasheet/ncp45560-d.pdf,https://www.digikey.com/en/products/detail/onsemi/NCP45560IMNTWG-H/4499711,17A,"Over Temperature, UVLO","Power Good, Slew Rate Controlled",,Non-Inverting,On/Off,1,-40°C ~ 125°C (TJ),High Side,N-Channel,,1:1,3.2mOhm,ecoSWITCH™,General Purpose,0.5V ~ 13.5V,3V ~ 5.5V
NCP45560IMNTWG-L,onsemi,IC PWR SWITCH N-CHAN 1:1 12DFN,pmic-battery-management,3045,2.36,12-VFDFN Exposed Pad,Surface Mount,Active,https://www.onsemi.com/pdf/datasheet/ncp45560-d.pdf,https://www.digikey.com/en/products/detail/onsemi/NCP45560IMNTWG-L/4499712,17A,"Over Temperature, UVLO","Power Good, Slew Rate Controlled",,Non-Inverting,On/Off,1,-40°C ~ 125°C (TJ),High Side,N-Channel,,1:1,3.2mOhm,ecoSWITCH™,General Purpose,0.5V ~ 13.5V,3V ~ 5.5V
NCP456RFCCT2G,onsemi,IC PWR SWITCH N-CHAN 1:1 6WLCSP,pmic-battery-management,12924,0.64,"6-UFBGA, WLCSP",Surface Mount,Active,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/307/NCP456R%2CNCP457.pdf,https://www.digikey.com/en/products/detail/onsemi/NCP456RFCCT2G/5257795,2A,,,,Non-Inverting,On/Off,1,-40°C ~ 85°C (TA),High Side,N-Channel,,1:1,24mOhm,,General Purpose,0.75V ~ 5.5V,Not Required
NCP45750IMN24TWG,onsemi,750 MCM,pmic-battery-management,4247,2.35,12-VFDFN Exposed Pad,Surface Mount,Active,https://www.onsemi.com/download/data-sheet/pdf/ncp45750-d.pdf,https://www.digikey.com/en/products/detail/onsemi/NCP45750IMN24TWG/12180015,10A,"Current Limiting (Adjustable), Over Temperature, UVLO",Slew Rate Controlled,,Non-Inverting,,1,-40°C ~ 85°C (TA),High Side,N-Channel,,1:1,5.9mOhm,ecoSWITCH™,General Purpose,3V ~ 24V,3V ~ 5.5V
NCP45760IMN24RTWG,onsemi,760 MCM,pmic-battery-management,1413,1.99,12-VFDFN Exposed Pad,Surface Mount,Active,https://www.onsemi.com/download/data-sheet/pdf/ncp45760-d.pdf,https://www.digikey.com/en/products/detail/onsemi/NCP45760IMN24RTWG/12180081,20A,"Current Limiting (Adjustable), Open Load Detect, Over Temperature, Reverse Current, UVLO",Slew Rate Controlled,,Non-Inverting,,1,-40°C ~ 85°C (TA),High Side,N-Channel,,1:1,17mOhm,ecoSWITCH™,General Purpose,3V ~ 24V,3V ~ 5.5V
NCP45770IMN24TWG,onsemi,770 MCM,pmic-battery-management,4366,2.45,12-VFDFN Exposed Pad,Surface Mount,Active,https://www.onsemi.com/pdf/datasheet/ncp45770-d.pdf,https://www.digikey.com/en/products/detail/onsemi/NCP45770IMN24TWG/12180092,20A,"Current Limiting (Adjustable), Over Temperature, UVLO",Slew Rate Controlled,,Non-Inverting,,1,-40°C ~ 85°C (TA),High Side,N-Channel,,1:1,3.6mOhm,ecoSWITCH™,General Purpose,3V ~ 24V,3V ~ 5.5V
NCP45780IMN24RTWG,onsemi,780 MCM,pmic-battery-management,4224,2.33,12-VFDFN Exposed Pad,Surface Mount,Active,https://www.onsemi.com/pdf/datasheet/ncp45780-d.pdf,https://www.digikey.com/en/products/detail/onsemi/NCP45780IMN24RTWG/16528622,20A,"Current Limiting (Fixed), Over Temperature, Reverse Current, Short Circuit, UVLO","Power Good, Slew Rate Controlled",,Non-Inverting,Logic,1,-40°C ~ 85°C (TA),High/Low Side,N-Channel,,2:1,,,USB Switch,3V ~ 24V,3V ~ 5.5V
NCP45790IMN24RTWG,onsemi,SOLITUDE 790 MCM,pmic-battery-management,17223,3.68,14-VFDFN Exposed Pad,Surface Mount,Active,https://www.onsemi.com/download/data-sheet/pdf/ncp45790-d.pdf,https://www.digikey.com/en/products/detail/onsemi/NCP45790IMN24RTWG/12180086,8A,"Current Limiting (Adjustable), Open Load Detect, Over Temperature, Reverse Current, UVLO",Slew Rate Controlled,,Non-Inverting,,1,-40°C ~ 85°C (TA),High Side,N-Channel,,1:1,5.6mOhm,ecoSWITCH™,General Purpose,3V ~ 24V,3V ~ 5.5V
NCP81418MNTXG,onsemi,"HOT SWAP SLAVE-ONLY SMART FUSE,",pmic-battery-management,2497,3.83,32-LFQFN Exposed Pad,Surface Mount,Active,https://www.onsemi.com/download/data-sheet/pdf/ncp81418-d.pdf,https://www.digikey.com/en/products/detail/onsemi/NCP81418MNTXG/25602658,80A,"Current Limiting (Adjustable), Over Temperature, Over Voltage","Slew Rate Controlled, Status Flag",,Non-Inverting,,1,,,N-Channel,,1:1,650mOhm,,General Purpose,5V ~ 18V,Not Required
NCV330MUTBG,onsemi,IC PWR SWITCH N-CHAN 1:1 4UDFN,pmic-battery-management,4064,0.55,4-UFDFN Exposed Pad,Surface Mount,Active,https://www.onsemi.com/pdf/datasheet/ncp330-d.pdf,https://www.digikey.com/en/products/detail/onsemi/NCV330MUTBG/5257895,3A,,Slew Rate Controlled,,,On/Off,1,-40°C ~ 85°C (TA),High Side,N-Channel,,1:1,26mOhm,,General Purpose,1.8V ~ 5.5V,
NCV380HMUAJAATBG,onsemi,IC PWR SWITCH P-CHAN 1:1 6UDFN,pmic-battery-management,3437,0.71,6-UDFN Exposed Pad,Surface Mount,Active,https://www.onsemi.com/pdf/datasheet/ncp380-d.pdf,https://www.digikey.com/en/products/detail/onsemi/NCV380HMUAJAATBG/4848486,Adjustable,"Current Limiting (Adjustable), UVLO","Enable Input High, Slew Rate Controlled, Status Flag",Automotive,Non-Inverting,On/Off,1,-40°C ~ 125°C (TJ),High Side,P-Channel,AEC-Q100,1:1,55mOhm,,General Purpose,2.5V ~ 5.5V,Not Required
NCV380LMUAJAATBG,onsemi,IC PWR SWITCH P-CHAN 1:1 6UDFN,pmic-battery-management,5656,0.72,6-UDFN Exposed Pad,Surface Mount,Active,https://www.onsemi.com/pdf/datasheet/ncp380-d.pdf,https://www.digikey.com/en/products/detail/onsemi/NCV380LMUAJAATBG/4848488,Adjustable,"Current Limiting (Adjustable), UVLO","Enable Input Low, Slew Rate Controlled, Status Flag",Automotive,Non-Inverting,On/Off,1,-40°C ~ 125°C (TJ),High Side,P-Channel,AEC-Q100,1:1,55mOhm,,General Purpose,2.5V ~ 5.5V,Not Required
NCV459MNWTBG,onsemi,IC PWR SWITCH N-CHAN 1:1 8DFN,pmic-battery-management,11123,1.25,8-VDFN Exposed Pad,"Surface Mount, Wettable Flank",Active,https://www.onsemi.com/pdf/datasheet/ncv459-d.pdf,https://www.digikey.com/en/products/detail/onsemi/NCV459MNWTBG/10321947,4A,,Load Discharge,Automotive,Non-Inverting,On/Off,2,-40°C ~ 125°C (TJ),High Side,N-Channel,AEC-Q100,1:1,23mOhm,,General Purpose,0.75V ~ 5.5V,Not Required
NCV47722PAAJR2G,onsemi,IC PWR SWTCH BIPOLAR 1:1 14TSSOP,pmic-battery-management,18370,1.58,"14-TSSOP (0.173"", 4.40mm Width) Exposed Pad",Surface Mount,Active,https://www.onsemi.com/pdf/datasheet/ncv47722-d.pdf,https://www.digikey.com/en/products/detail/onsemi/NCV47722PAAJR2G/10321949,250mA,"Current Limiting (Adjustable), Over Temperature",Status Flag,Automotive,Non-Inverting,On/Off,1,-40°C ~ 150°C (TJ),High Side,Bipolar,AEC-Q100,1:1,,,General Purpose,4.4V ~ 40V,Not Required
NCV47823PAAJR2G,onsemi,IC PWR SWTCH BIPOLAR 1:2 14TSSOP,pmic-battery-management,563,2.43,"14-TSSOP (0.173"", 4.40mm Width) Exposed Pad",Surface Mount,Active,https://www.onsemi.com/pdf/datasheet/ncv47823-d.pdf,https://www.digikey.com/en/products/detail/onsemi/NCV47823PAAJR2G/8636501,350mA,"Current Limiting (Adjustable), Over Temperature",PWM Input,Automotive,Non-Inverting,Logic,2,-40°C ~ 150°C (TJ),High Side,Bipolar,AEC-Q100,1:2,,,General Purpose,40V,Not Required
NCV68261MTWAITBG,onsemi,IDEAL DIODE AND HS SWITCH NMOS D,pmic-battery-management,2287,0.81,6-WDFN Exposed Pad,"Surface Mount, Wettable Flank",Active,https://www.onsemi.com/pdf/datasheet/ncv68261-d.pdf,https://www.digikey.com/en/products/detail/onsemi/NCV68261MTWAITBG/16528541,,"Over Voltage, Reverse Current, UVLO",Load Discharge,Automotive,Non-Inverting,On/Off,1,-40°C ~ 150°C (TJ),High Side,N-Channel,AEC-Q100,1:1,,,General Purpose,3V ~ 32V,Not Required
NCV7240BDPR2G,onsemi,IC PWR DRIVER N-CHAN 1:8 24SSOP,pmic-battery-management,19513,2.22,"24-SSOP (0.154"", 3.90mm Width)",Surface Mount,Active,https://www.onsemi.com/pdf/datasheet/ncv7240-d.pdf,https://www.digikey.com/en/products/detail/onsemi/NCV7240BDPR2G/7809304,600mA,"Open Load Detect, Over Temperature",,Automotive,,SPI,8,-40°C ~ 150°C (TJ),Low Side,N-Channel,AEC-Q100,1:8,1.5Ohm,,General Purpose,"3.3V, 5V",
