MPN,Manufacturer,Description,Subcategory,Stock,Unit Price,Package,Mounting Type,Status,Datasheet URL,Product URL,Connectivity,Core Processor,Core Size,Data Converters,DigiKey Programmable,EEPROM Size,Grade,Number of I/O,Operating Temperature,Oscillator Type,Peripherals,Program Memory Size,Program Memory Type,Qualification,RAM Size,Series,Speed,Voltage - Supply (Vcc/Vdd)
PIC16F876AT-I/SO,Microchip Technology,IC MCU 8BIT 14KB FLASH 28SOIC,embedded-microcontrollers,1838,7.44,"28-SOIC (0.295"", 7.50mm Width)",Surface Mount,Active,https://ww1.microchip.com/downloads/en/DeviceDoc/39582C.pdf,https://www.digikey.com/en/products/detail/microchip-technology/PIC16F876AT-I-SO/482241,"I2C, SPI, UART/USART",PIC,8-Bit,A/D 5x10b,Verified,256 x 8,,22,-40°C ~ 85°C (TA),External,"Brown-out Detect/Reset, POR, PWM, WDT",14KB (8K x 14),FLASH,,368 x 8,PIC® 16F,20MHz,4V ~ 5.5V
PIC16F877-04/P,Microchip Technology,IC MCU 8BIT 14KB FLASH 40DIP,embedded-microcontrollers,1050,7.44,"40-DIP (0.600"", 15.24mm)",Through Hole,Active,https://ww1.microchip.com/downloads/aemDocuments/documents/MCU08/ProductDocuments/DataSheets/30292D.pdf,https://www.digikey.com/en/products/detail/microchip-technology/PIC16F877-04-P/281146,"I2C, SPI, UART/USART",PIC,8-Bit,A/D 8x10b,Verified,256 x 8,,33,0°C ~ 70°C (TA),External,"Brown-out Detect/Reset, POR, PWM, WDT",14KB (8K x 14),FLASH,,368 x 8,PIC® 16F,4MHz,4V ~ 5.5V
PIC16F877-20/L,Microchip Technology,IC MCU 8BIT 14KB FLASH 44PLCC,embedded-microcontrollers,417,11.09,44-LCC (J-Lead),Surface Mount,Active,https://ww1.microchip.com/downloads/aemDocuments/documents/MCU08/ProductDocuments/DataSheets/30292D.pdf,https://www.digikey.com/en/products/detail/microchip-technology/PIC16F877-20-L/281148,"I2C, SPI, UART/USART",PIC,8-Bit,A/D 8x10b,Verified,256 x 8,,33,0°C ~ 70°C (TA),External,"Brown-out Detect/Reset, POR, PWM, WDT",14KB (8K x 14),FLASH,,368 x 8,PIC® 16F,20MHz,4V ~ 5.5V
PIC16F877-20/P,Microchip Technology,IC MCU 8BIT 14KB FLASH 40DIP,embedded-microcontrollers,590,7.94,"40-DIP (0.600"", 15.24mm)",Through Hole,Active,https://ww1.microchip.com/downloads/aemDocuments/documents/MCU08/ProductDocuments/DataSheets/30292D.pdf,https://www.digikey.com/en/products/detail/microchip-technology/PIC16F877-20-P/280946,"I2C, SPI, UART/USART",PIC,8-Bit,A/D 8x10b,Verified,256 x 8,,33,0°C ~ 70°C (TA),External,"Brown-out Detect/Reset, POR, PWM, WDT",14KB (8K x 14),FLASH,,368 x 8,PIC® 16F,20MHz,4V ~ 5.5V
PIC16F877-20I/P,Microchip Technology,IC MCU 8BIT 14KB FLASH 40DIP,embedded-microcontrollers,386,8.7,"40-DIP (0.600"", 15.24mm)",Through Hole,Active,https://ww1.microchip.com/downloads/aemDocuments/documents/MCU08/ProductDocuments/DataSheets/30292D.pdf,https://www.digikey.com/en/products/detail/microchip-technology/PIC16F877-20I-P/321217,"I2C, SPI, UART/USART",PIC,8-Bit,A/D 8x10b,Verified,256 x 8,,33,-40°C ~ 85°C (TA),External,"Brown-out Detect/Reset, POR, PWM, WDT",14KB (8K x 14),FLASH,,368 x 8,PIC® 16F,20MHz,4V ~ 5.5V
PIC16F877-20I/PQ,Microchip Technology,IC MCU 8BIT 14KB FLASH 44MQFP,embedded-microcontrollers,1675,10.58,44-QFP,Surface Mount,Active,https://ww1.microchip.com/downloads/aemDocuments/documents/MCU08/ProductDocuments/DataSheets/30292D.pdf,https://www.digikey.com/en/products/detail/microchip-technology/PIC16F877-20I-PQ/321218,"I2C, SPI, UART/USART",PIC,8-Bit,A/D 8x10b,Not Verified,256 x 8,,33,-40°C ~ 85°C (TA),External,"Brown-out Detect/Reset, POR, PWM, WDT",14KB (8K x 14),FLASH,,368 x 8,PIC® 16F,20MHz,4V ~ 5.5V
PIC16F877-20I/PT,Microchip Technology,IC MCU 8BIT 14KB FLASH 44TQFP,embedded-microcontrollers,418,11.24,44-TQFP,Surface Mount,Active,https://ww1.microchip.com/downloads/aemDocuments/documents/MCU08/ProductDocuments/DataSheets/30292D.pdf,https://www.digikey.com/en/products/detail/microchip-technology/PIC16F877-20I-PT/321219,"I2C, SPI, UART/USART",PIC,8-Bit,A/D 8x10b,Verified,256 x 8,,33,-40°C ~ 85°C (TA),External,"Brown-out Detect/Reset, POR, PWM, WDT",14KB (8K x 14),FLASH,,368 x 8,PIC® 16F,20MHz,4V ~ 5.5V
PIC16F877A-I/L,Microchip Technology,IC MCU 8BIT 14KB FLASH 44PLCC,embedded-microcontrollers,710,7.77,44-LCC (J-Lead),Surface Mount,Active,https://ww1.microchip.com/downloads/en/DeviceDoc/39582C.pdf,https://www.digikey.com/en/products/detail/microchip-technology/PIC16F877A-I-L/446142,"I2C, SPI, UART/USART",PIC,8-Bit,A/D 8x10b,Verified,256 x 8,,33,-40°C ~ 85°C (TA),External,"Brown-out Detect/Reset, POR, PWM, WDT",14KB (8K x 14),FLASH,,368 x 8,PIC® 16F,20MHz,4V ~ 5.5V
PIC16F877A-I/P,Microchip Technology,IC MCU 8BIT 14KB FLASH 40DIP,embedded-microcontrollers,1574,6.8,"40-DIP (0.600"", 15.24mm)",Through Hole,Active,https://ww1.microchip.com/downloads/en/DeviceDoc/39582C.pdf,https://www.digikey.com/en/products/detail/microchip-technology/PIC16F877A-I-P/446143,"I2C, SPI, UART/USART",PIC,8-Bit,A/D 8x10b,Verified,256 x 8,,33,-40°C ~ 85°C (TA),External,"Brown-out Detect/Reset, POR, PWM, WDT",14KB (8K x 14),FLASH,,368 x 8,PIC® 16F,20MHz,4V ~ 5.5V
PIC16F877A-I/PT,Microchip Technology,IC MCU 8BIT 14KB FLASH 44TQFP,embedded-microcontrollers,5939,7.49,44-TQFP,Surface Mount,Active,https://ww1.microchip.com/downloads/aemDocuments/documents/OTH/ProductDocuments/DataSheets/PIC12F1501-16F1503-7-8-9-High-Temp-Data-Sheet.pdf,https://www.digikey.com/en/products/detail/microchip-technology/PIC16F877A-I-PT/480769,"I2C, SPI, UART/USART",PIC,8-Bit,A/D 8x10b,Verified,256 x 8,,33,-40°C ~ 85°C (TA),External,"Brown-out Detect/Reset, POR, PWM, WDT",14KB (8K x 14),FLASH,,368 x 8,PIC® 16F,20MHz,4V ~ 5.5V
