MPN,Manufacturer,Description,Subcategory,Stock,Unit Price,Package,Mounting Type,Status,Datasheet URL,Product URL,Applications,Grade,Qualification,Series,Type
LF298MX-TI,Texas Instruments,IC AMP SPECIAL 14-SOIC,interface-controllers,2155,1.83,"14-SOIC (0.154"", 3.90mm Width)",Surface Mount,Active,https://rocelec.widen.net/view/pdf/yhl7fmjzcw/NATLS10317-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/LF298MX-TI/12642579,,,,,Sample and Hold
LIA100,IXYS Integrated Circuits Division,IC AMP SPECIAL 16-DIP,interface-controllers,0,0.0,"16-DIP (0.300"", 7.62mm)",Through Hole,Obsolete,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/721/LIA100.pdf,https://www.digikey.com/en/products/detail/ixys-integrated-circuits-division/LIA100/655020,Data Acquisition,,,,Isolation
LIA100P,IXYS Integrated Circuits Division,IC AMP SPECIAL 16-SOIC,interface-controllers,0,0.0,"16-SOIC (0.295"", 7.50mm Width)",Surface Mount,Obsolete,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/721/LIA100.pdf,https://www.digikey.com/en/products/detail/ixys-integrated-circuits-division/LIA100P/655041,Data Acquisition,,,,Isolation
LIA100PTR,IXYS Integrated Circuits Division,IC AMP SPECIAL 16-SOIC,interface-controllers,0,2.78558,"16-SOIC (0.295"", 7.50mm Width)",Surface Mount,Obsolete,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/721/LIA100.pdf,https://www.digikey.com/en/products/detail/ixys-integrated-circuits-division/LIA100PTR/655115,Data Acquisition,,,,Isolation
LIA101,IXYS Integrated Circuits Division,IC AMP SPECIAL 16-DIP,interface-controllers,0,0.0,"16-DIP (0.300"", 7.62mm)",Through Hole,Obsolete,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/1027/LIA101.pdf,https://www.digikey.com/en/products/detail/ixys-integrated-circuits-division/LIA101/654924,Data Acquisition,,,,Isolation
LIA101P,IXYS Integrated Circuits Division,IC AMP SPECIAL 16-SOIC,interface-controllers,0,0.0,"16-SOIC (0.295"", 7.50mm Width)",Surface Mount,Obsolete,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/1027/LIA101.pdf,https://www.digikey.com/en/products/detail/ixys-integrated-circuits-division/LIA101P/654878,Data Acquisition,,,,Isolation
LM13600MX,National Semiconductor,IC AMP SPECIAL 16-SOP,interface-controllers,4901,1.39,"16-SOIC (0.154"", 3.90mm Width)",Surface Mount,Active,https://rocelec.widen.net/view/pdf/equ8vmosnb/NATLD049-1-631.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/LM13600MX/12118026,,,,,Transconductance
LM2924M,National Semiconductor,IC AMP SPECIAL 8-SOIC,interface-controllers,724,2.76,"8-SOIC (0.154"", 3.90mm Width)",Surface Mount,Obsolete,https://rocelec.widen.net/view/pdf/ztr26vygoz/NATLS02082-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/LM2924M/11523728,Transducer Amplifier,,,,"Amplifier, Comparator"
LM2924MX,National Semiconductor,IC AMP SPECIAL 8-SOIC,interface-controllers,1745,1.89,"8-SOIC (0.154"", 3.90mm Width)",Surface Mount,Active,https://rocelec.widen.net/view/pdf/et8orzl0mn/NATLS03846-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/LM2924MX/12094900,Transducer Amplifier,,,,"Amplifier, Comparator"
LM392D,Texas Instruments,IC AMP SPECIAL 8-SOIC,interface-controllers,0,2.34,"8-SOIC (0.154"", 3.90mm Width)",Surface Mount,Active,https://rocelec.widen.net/view/pdf/ryznockplv/slos466.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/texas-instruments/LM392D/1510318,Transducer Amplifier,,,,"Amplifier, Comparator"
LM392DGKR,Texas Instruments,IC AMP SPECIAL 8-VSSOP,interface-controllers,0,0.98714,"8-TSSOP, 8-MSOP (0.118"", 3.00mm Width)",Surface Mount,Active,https://rocelec.widen.net/view/pdf/ryznockplv/slos466.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/texas-instruments/LM392DGKR/1133650,Transducer Amplifier,,,,"Amplifier, Comparator"
LM392DGKT,Texas Instruments,IC AMP SPECIAL 8-VSSOP,interface-controllers,0,2.14,"8-TSSOP, 8-MSOP (0.118"", 3.00mm Width)",Surface Mount,Active,https://rocelec.widen.net/view/pdf/ryznockplv/slos466.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/texas-instruments/LM392DGKT/1510320,Transducer Amplifier,,,,"Amplifier, Comparator"
LM392DGKTG4,Texas Instruments,IC AMP SPECIAL 8-VSSOP,interface-controllers,0,0.79234,"8-TSSOP, 8-MSOP (0.118"", 3.00mm Width)",Surface Mount,Discontinued at DigiKey,https://rocelec.widen.net/view/pdf/ryznockplv/slos466.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/texas-instruments/LM392DGKTG4/1510321,Transducer Amplifier,,,,"Amplifier, Comparator"
LM392DR,Texas Instruments,IC AMP SPECIAL 8-SOIC,interface-controllers,3560,2.03,"8-SOIC (0.154"", 3.90mm Width)",Surface Mount,Active,https://rocelec.widen.net/view/pdf/ryznockplv/slos466.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/texas-instruments/LM392DR/1216459,Transducer Amplifier,,,,"Amplifier, Comparator"
LM392DR2G,onsemi,IC AMP SPECIAL 8-SOIC,interface-controllers,0,0.0,"8-SOIC (0.154"", 3.90mm Width)",Surface Mount,Obsolete,https://www.onsemi.com/pdf/datasheet/lm392-d.pdf,https://www.digikey.com/en/products/detail/onsemi/LM392DR2G/2193854,Transducer Amplifier,,,,"Amplifier, Comparator"
LM392DRG4,Texas Instruments,IC AMP SPECIAL 8-SOIC,interface-controllers,0,0.69614,"8-SOIC (0.154"", 3.90mm Width)",Surface Mount,Discontinued at DigiKey,https://rocelec.widen.net/view/pdf/ryznockplv/slos466.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/texas-instruments/LM392DRG4/1898871,Transducer Amplifier,,,,"Amplifier, Comparator"
LM392M,Texas Instruments,IC AMP SPECIAL 8-SOIC,interface-controllers,0,1.01766,"8-SOIC (0.154"", 3.90mm Width)",Surface Mount,Obsolete,,https://www.digikey.com/en/products/detail/texas-instruments/LM392M/2350467,Transducer Amplifier,,,,"Amplifier, Comparator"
LM392M/NOPB,Texas Instruments,IC AMP SPECIAL 8-SOIC,interface-controllers,2217,1.69,"8-SOIC (0.154"", 3.90mm Width)",Surface Mount,Active,,https://www.digikey.com/en/products/detail/texas-instruments/LM392M-NOPB/149044,Transducer Amplifier,,,,"Amplifier, Comparator"
LM392MX,Texas Instruments,IC AMP SPECIAL 8-SOIC,interface-controllers,0,0.54706,"8-SOIC (0.154"", 3.90mm Width)",Surface Mount,Obsolete,,https://www.digikey.com/en/products/detail/texas-instruments/LM392MX/2350469,Transducer Amplifier,,,,"Amplifier, Comparator"
LM392MX/NOPB,Texas Instruments,IC AMP SPECIAL 8-SOIC,interface-controllers,2492,1.11,"8-SOIC (0.154"", 3.90mm Width)",Surface Mount,Active,,https://www.digikey.com/en/products/detail/texas-instruments/LM392MX-NOPB/334894,Transducer Amplifier,,,,"Amplifier, Comparator"
LM392N,Texas Instruments,IC AMP SPECIAL 8-PDIP,interface-controllers,0,0.0,"8-DIP (0.300"", 7.62mm)",Through Hole,Obsolete,https://rocelec.widen.net/view/pdf/ryznockplv/slos466.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/texas-instruments/LM392N/2602658,Transducer Amplifier,,,,"Amplifier, Comparator"
LM392N/NOPB,Texas Instruments,IC AMP SPECIAL 8-PDIP,interface-controllers,1225,1.78,"8-DIP (0.300"", 7.62mm)",Through Hole,Active,,https://www.digikey.com/en/products/detail/texas-instruments/LM392N-NOPB/6302,Transducer Amplifier,,,,"Amplifier, Comparator"
LM392P,Texas Instruments,IC AMP SPECIAL 8-PDIP,interface-controllers,903,2.26,"8-DIP (0.300"", 7.62mm)",Through Hole,Active,https://rocelec.widen.net/view/pdf/ryznockplv/slos466.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/texas-instruments/LM392P/1216460,Transducer Amplifier,,,,"Amplifier, Comparator"
LM613IWM,Texas Instruments,IC AMP SPECIAL 16-SOIC,interface-controllers,0,0.0,"16-SOIC (0.295"", 7.50mm Width)",Surface Mount,Obsolete,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/1001/LM613.pdf,https://www.digikey.com/en/products/detail/texas-instruments/LM613IWM/3701278,Power Supply Monitor,,,Super-Block™,"Amplifier, Comparator, Reference"
