MPN,Manufacturer,Description,Subcategory,Stock,Unit Price,Package,Mounting Type,Status,Datasheet URL,Product URL,Current - Supply (Max),Features,Operating Temperature,Output,Resolution (Bits),Series,Voltage - Supply
TCS37725FN,ams-OSRAM USA INC.,COLOR SENSOR I2C 16-B 6-SMD,ambient-light-sensors,0,0.0,6-SMD Module,,Obsolete,https://ams.com/documents/20143/36005/TCS3772_DS000175_3-00.pdf,https://www.digikey.com/en/products/detail/ams-osram-usa-inc/TCS37725FN/3821080,330µA @ 3V,"Gain Control, Interrupt, Proximity Detection, Sleep Mode",-30°C ~ 70°C,I2C,16 b,,2.7 V ~ 3.6 V
TCS37727FN,ams-OSRAM USA INC.,COLOR SENSOR I2C 16-B 6-SMD,ambient-light-sensors,0,0.0,6-SMD Module,,Obsolete,https://ams.com/documents/20143/36005/TCS3772_DS000175_3-00.pdf,https://www.digikey.com/en/products/detail/ams-osram-usa-inc/TCS37727FN/3680940,330µA @ 3V,"Gain Control, Interrupt, Proximity Detection, Sleep Mode",-30°C ~ 70°C,I2C,16 b,,2.7 V ~ 3.6 V
TCS37903FN,ams-OSRAM USA INC.,IC COLOR CONV LIGHT-DGTL 6ODFN,ambient-light-sensors,0,0.0,-,,Obsolete,,https://www.digikey.com/en/products/detail/ams-osram-usa-inc/TCS37903FN/10269985,,,,,,,
TCS39903FN,ams-OSRAM USA INC.,IC COLOR CONV LIGHT-DGTL 6ODFN,ambient-light-sensors,0,0.0,-,,Obsolete,,https://www.digikey.com/en/products/detail/ams-osram-usa-inc/TCS39903FN/10269989,,,,,,,
TMD37003,ams-OSRAM USA INC.,COLOR SENSOR I2C 16-B 8-SMD,ambient-light-sensors,0,0.0,8-SMD,,Obsolete,,https://www.digikey.com/en/products/detail/ams-osram-usa-inc/TMD37003/6188438,150µA @ 1.8V,"Gain Control, Interrupt, Proximity Detection, Sleep Mode",-30°C ~ 85°C,I2C,16 b,,1.7 V ~ 2 V
TMD37003M,ams-OSRAM USA INC.,COLOR SENSOR I2C 16-B 8-SMD,ambient-light-sensors,0,0.0,8-SMD,,Obsolete,,https://www.digikey.com/en/products/detail/ams-osram-usa-inc/TMD37003M/6188425,150µA @ 1.8V,"Gain Control, Interrupt, Proximity Detection, Sleep Mode",-30°C ~ 85°C,I2C,16 b,,1.7 V ~ 2 V
TMD37024VC OLGA8 LF T&RDP,ams-OSRAM USA INC.,COLOR SENSOR I2C 16-B 8-SMD,ambient-light-sensors,0,0.0,8-SMD Module,,Obsolete,,https://www.digikey.com/en/products/detail/ams-osram-usa-inc/TMD37024VC-OLGA8-LF-T-RDP/10285624,150µA @ 1.8V,,-30°C ~ 85°C,I2C,16 b,,1.7 V ~ 2 V
TMD37024VCM OLGA8 LF T&RDP,ams-OSRAM USA INC.,COLOR SENSOR I2C 16-B 8-SMD,ambient-light-sensors,0,0.0,8-SMD Module,,Obsolete,,https://www.digikey.com/en/products/detail/ams-osram-usa-inc/TMD37024VCM-OLGA8-LF-T-RDP/10285625,150µA @ 1.8V,,-30°C ~ 85°C,I2C,16 b,,1.7 V ~ 2 V
TMD37193 OLGA10 LF T&RDP,ams-OSRAM USA INC.,COLOR SENSOR I2C 16-B 10-SMD,ambient-light-sensors,0,0.0,10-SMD Module,,Obsolete,,https://www.digikey.com/en/products/detail/ams-osram-usa-inc/TMD37193-OLGA10-LF-T-RDP/21575586,150µA,,-30°C ~ 85°C,I2C,16 b,,1.7 V ~ 1.98 V
TMD37253 OLGA8 LF T&RDP,ams-OSRAM USA INC.,COLOR SENSOR I2C 16-B 8-SMD,ambient-light-sensors,724,2.06,8-SMD Module,,Last Time Buy,https://look.ams-osram.com/m/6a4d0816b7d3a4bf/original/TMD3725-ALS-Color-and-Proximity-Sensor-Module.pdf,https://www.digikey.com/en/products/detail/ams-osram-usa-inc/TMD37253-OLGA8-LF-T-RDP/8854202,150µA,,-30°C ~ 85°C,I2C,16 b,,1.7 V ~ 2 V
TMD37821,ams-OSRAM USA INC.,COLOR SENSOR I2C 16-B 8-SMD,ambient-light-sensors,0,0.0,8-SMD Module,,Obsolete,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/29/TMD3782_v2.pdf,https://www.digikey.com/en/products/detail/ams-osram-usa-inc/TMD37821/4898802,330µA @ 3V,"Gain Control, Interrupt, Proximity Detection, Sleep Mode",-30°C ~ 85°C,I2C,16 b,,2.7 V ~ 3.3 V
TMD37823,ams-OSRAM USA INC.,COLOR SENSOR I2C 16-B 8-SMD,ambient-light-sensors,0,0.0,8-SMD Module,,Obsolete,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/29/TMD3782_v2.pdf,https://www.digikey.com/en/products/detail/ams-osram-usa-inc/TMD37823/4898803,330µA @ 3V,"Gain Control, Interrupt, Proximity Detection, Sleep Mode",-30°C ~ 85°C,I2C,16 b,,2.7 V ~ 3.3 V
TMD37823S9INT32,ams-OSRAM USA INC.,SENSOR,ambient-light-sensors,0,0.0,-,,Obsolete,,https://www.digikey.com/en/products/detail/ams-osram-usa-inc/TMD37823S9INT32/16653311,,,,,,,
