MPN,Manufacturer,Description,Subcategory,Stock,Unit Price,Package,Mounting Type,Status,Datasheet URL,Product URL,Access Time,Clock Frequency,DigiKey Programmable,Grade,Memory Format,Memory Interface,Memory Organization,Memory Size,Memory Type,Operating Temperature,Qualification,Series,Technology,Voltage - Supply,"Write Cycle Time - Word, Page"
24AA1025T-I/SM,Microchip Technology,IC EEPROM 1MBIT I2C 400KHZ 8SOIJ,memory,5878,4.42,"8-SOIC (0.209"", 5.30mm Width)",Surface Mount,Active,https://ww1.microchip.com/downloads/en/DeviceDoc/20001941L.pdf,https://www.digikey.com/en/products/detail/microchip-technology/24AA1025T-I-SM/964255,900 ns,400 kHz,Verified,,EEPROM,I2C,128K x 8,1Mbit,Non-Volatile,-40°C ~ 85°C (TA),,,EEPROM,1.7V ~ 5.5V,5ms
24AA1025T-I/SN,Microchip Technology,IC EEPROM 1MBIT I2C 400KHZ 8SOIC,memory,2679,4.39,"8-SOIC (0.154"", 3.90mm Width)",Surface Mount,Active,https://ww1.microchip.com/downloads/en/DeviceDoc/20001941L.pdf,https://www.digikey.com/en/products/detail/microchip-technology/24AA1025T-I-SN/2332777,900 ns,400 kHz,Not Verified,,EEPROM,I2C,128K x 8,1Mbit,Non-Volatile,-40°C ~ 85°C (TA),,,EEPROM,1.7V ~ 5.5V,5ms
24AA1026-I/SN,Microchip Technology,IC EEPROM 1MBIT I2C 400KHZ 8SOIC,memory,1381,4.02,"8-SOIC (0.154"", 3.90mm Width)",Surface Mount,Active,https://ww1.microchip.com/downloads/en/DeviceDoc/20002270E.pdf,https://www.digikey.com/en/products/detail/microchip-technology/24AA1026-I-SN/2601399,900 ns,400 kHz,Not Verified,,EEPROM,I2C,128K x 8,1Mbit,Non-Volatile,-40°C ~ 85°C (TA),,,EEPROM,1.7V ~ 5.5V,5ms
24AA128T-I/MNY,Microchip Technology,IC EEPROM 128KBIT I2C 8TDFN,memory,32187,0.86,8-WFDFN Exposed Pad,Surface Mount,Active,https://ww1.microchip.com/downloads/en/DeviceDoc/24AA128-24LC128-24FC128-128K-I2C-Serial-EEPROM-DS.pdf,https://www.digikey.com/en/products/detail/microchip-technology/24AA128T-I-MNY/2385850,900 ns,400 kHz,Not Verified,,EEPROM,I2C,16K x 8,128Kbit,Non-Volatile,-40°C ~ 85°C (TA),,,EEPROM,1.7V ~ 5.5V,5ms
24AA128T-I/MS,Microchip Technology,IC EEPROM 128KBIT I2C 8MSOP,memory,2214,0.92,"8-TSSOP, 8-MSOP (0.118"", 3.00mm Width)",Surface Mount,Active,https://ww1.microchip.com/downloads/en/DeviceDoc/24AA128-24LC128-24FC128-128K-I2C-Serial-EEPROM-DS.pdf,https://www.digikey.com/en/products/detail/microchip-technology/24AA128T-I-MS/468416,900 ns,400 kHz,Verified,,EEPROM,I2C,16K x 8,128Kbit,Non-Volatile,-40°C ~ 85°C (TA),,,EEPROM,1.7V ~ 5.5V,5ms
24AA128T-I/SN,Microchip Technology,IC EEPROM 128KBIT I2C 8SOIC,memory,9292,0.81,"8-SOIC (0.154"", 3.90mm Width)",Surface Mount,Active,https://ww1.microchip.com/downloads/en/DeviceDoc/24AA128-24LC128-24FC128-128K-I2C-Serial-EEPROM-DS.pdf,https://www.digikey.com/en/products/detail/microchip-technology/24AA128T-I-SN/443592,900 ns,400 kHz,Verified,,EEPROM,I2C,16K x 8,128Kbit,Non-Volatile,-40°C ~ 85°C (TA),,,EEPROM,1.7V ~ 5.5V,5ms
24AA128T-I/ST,Microchip Technology,IC EEPROM 128KBIT I2C 8TSSOP,memory,26563,0.86,"8-TSSOP (0.173"", 4.40mm Width)",Surface Mount,Active,https://ww1.microchip.com/downloads/en/DeviceDoc/24AA128-24LC128-24FC128-128K-I2C-Serial-EEPROM-DS.pdf,https://www.digikey.com/en/products/detail/microchip-technology/24AA128T-I-ST/443582,900 ns,400 kHz,Verified,,EEPROM,I2C,16K x 8,128Kbit,Non-Volatile,-40°C ~ 85°C (TA),,,EEPROM,1.7V ~ 5.5V,5ms
24AA16HT-I/OT,Microchip Technology,IC EEPROM 16KBIT I2C SOT23-5,memory,8580,0.37,"SC-74A, SOT-753",Surface Mount,Active,http://ww1.microchip.com/downloads/en/DeviceDoc/20002118B.pdf,https://www.digikey.com/en/products/detail/microchip-technology/24AA16HT-I-OT/2059611,900 ns,400 kHz,Not Verified,,EEPROM,I2C,2K x 8,16Kbit,Non-Volatile,-40°C ~ 85°C (TA),,,EEPROM,1.7V ~ 5.5V,5ms
24AA16T-E/OT,Microchip Technology,IC EEPROM 16KBIT I2C SOT23-5,memory,16192,0.44,"SC-74A, SOT-753",Surface Mount,Active,https://ww1.microchip.com/downloads/en/DeviceDoc/20001703M.pdf,https://www.digikey.com/en/products/detail/microchip-technology/24AA16T-E-OT/3908656,900 ns,400 kHz,Not Verified,,EEPROM,I2C,2K x 8,16Kbit,Non-Volatile,-40°C ~ 125°C (TA),,,EEPROM,1.7V ~ 5.5V,5ms
24AA16T-I/OT,Microchip Technology,IC EEPROM 16KBIT I2C SOT23-5,memory,21907,0.37,"SC-74A, SOT-753",Surface Mount,Active,https://ww1.microchip.com/downloads/en/DeviceDoc/20001703M.pdf,https://www.digikey.com/en/products/detail/microchip-technology/24AA16T-I-OT/443503,900 ns,400 kHz,Verified,,EEPROM,I2C,2K x 8,16Kbit,Non-Volatile,-40°C ~ 85°C (TA),,,EEPROM,1.7V ~ 5.5V,5ms
