MPN,Manufacturer,Description,Subcategory,Stock,Unit Price,Package,Mounting Type,Status,Datasheet URL,Product URL,Control Features,Current - Output,Current - Quiescent (Iq),Current - Supply (Max),Grade,Number of Regulators,Operating Temperature,Output Configuration,Output Type,PSRR,Protection Features,Qualification,Series,Voltage - Input (Max),Voltage - Output (Max),Voltage - Output (Min/Fixed),Voltage Dropout (Max)
MC79L12ACPG,onsemi,IC REG LINEAR -12V 100MA TO92,pmic-voltage-regulators-linear,5598,0.3,"TO-226-3, TO-92-3 Long Body",Through Hole,Active,https://www.onsemi.com/pdf/datasheet/mc79l00-d.pdf,https://www.digikey.com/en/products/detail/onsemi/MC79L12ACPG/919402,,100mA,,,,1,0°C ~ 125°C,Negative,Fixed,42dB (120Hz),"Over Temperature, Short Circuit",,,-35V,,-12V,1.7V @ 40mA (Typ)
MC79L15ABDR2G,onsemi,IC REG LINEAR -15V 100MA 8-SOIC,pmic-voltage-regulators-linear,9006,0.27,"8-SOIC (0.154"", 3.90mm Width)",Surface Mount,Active,https://www.onsemi.com/pdf/datasheet/mc79l00-d.pdf,https://www.digikey.com/en/products/detail/onsemi/MC79L15ABDR2G/1481581,,100mA,,,,1,-40°C ~ 125°C,Negative,Fixed,39dB (120Hz),"Over Temperature, Short Circuit",,,-35V,,-15V,1.7V @ 40mA (Typ)
MC79L15ABPG,onsemi,IC REG LINEAR -15V 100MA TO92,pmic-voltage-regulators-linear,4949,0.3,"TO-226-3, TO-92-3 Long Body",Through Hole,Active,https://www.onsemi.com/pdf/datasheet/mc79l00-d.pdf,https://www.digikey.com/en/products/detail/onsemi/MC79L15ABPG/1481583,,100mA,,,,1,-40°C ~ 125°C,Negative,Fixed,39dB (120Hz),"Over Temperature, Short Circuit",,,-35V,,-15V,1.7V @ 40mA (Typ)
MC79L15ACDR2G,onsemi,IC REG LINEAR -15V 100MA 8-SOIC,pmic-voltage-regulators-linear,6225,0.27,"8-SOIC (0.154"", 3.90mm Width)",Surface Mount,Active,https://www.onsemi.com/pdf/datasheet/mc79l00-d.pdf,https://www.digikey.com/en/products/detail/onsemi/MC79L15ACDR2G/1481589,,100mA,,,,1,0°C ~ 125°C,Negative,Fixed,39dB (120Hz),"Over Temperature, Short Circuit",,,-35V,,-15V,1.7V @ 40mA (Typ)
MCP1700T-1802E/TT,Microchip Technology,IC REG LINEAR 1.8V 200MA SOT23-3,pmic-voltage-regulators-linear,11482,0.51,"TO-236-3, SC-59, SOT-23-3",Surface Mount,Active,https://ww1.microchip.com/downloads/en/DeviceDoc/MCP1700-Data-Sheet-20001826F.pdf,https://www.digikey.com/en/products/detail/microchip-technology/MCP1700T-1802E-TT/652671,,200mA,4 µA,,,1,-40°C ~ 125°C,Positive,Fixed,44dB (100Hz),"Over Current, Over Temperature, Short Circuit",,,6V,,1.8V,0.35V @ 200mA
MCP1700T-2502E/TT,Microchip Technology,IC REG LINEAR 2.5V 250MA SOT23-3,pmic-voltage-regulators-linear,3161,0.51,"TO-236-3, SC-59, SOT-23-3",Surface Mount,Active,https://ww1.microchip.com/downloads/en/DeviceDoc/MCP1700-Data-Sheet-20001826F.pdf,https://www.digikey.com/en/products/detail/microchip-technology/MCP1700T-2502E-TT/651111,,250mA,4 µA,,,1,-40°C ~ 125°C,Positive,Fixed,44dB (100Hz),"Over Current, Over Temperature, Short Circuit",,,6V,,2.5V,0.35V @ 250mA
MCP1700T-3302E/MB,Microchip Technology,IC REG LINEAR 3.3V 250MA SOT89-3,pmic-voltage-regulators-linear,22404,0.51,TO-243AA,Surface Mount,Active,https://ww1.microchip.com/downloads/en/DeviceDoc/MCP1700-Data-Sheet-20001826F.pdf,https://www.digikey.com/en/products/detail/microchip-technology/MCP1700T-3302E-MB/652678,,250mA,4 µA,,,1,-40°C ~ 125°C,Positive,Fixed,44dB (100Hz),"Over Current, Over Temperature, Short Circuit",,,6V,,3.3V,0.35V @ 250mA
MCP1700T-3302E/TT,Microchip Technology,IC REG LINEAR 3.3V 250MA SOT23-3,pmic-voltage-regulators-linear,21345,0.51,"TO-236-3, SC-59, SOT-23-3",Surface Mount,Active,https://ww1.microchip.com/downloads/en/DeviceDoc/MCP1700-Data-Sheet-20001826F.pdf,https://www.digikey.com/en/products/detail/microchip-technology/MCP1700T-3302E-TT/652676,,250mA,4 µA,,,1,-40°C ~ 125°C,Positive,Fixed,44dB (100Hz),"Over Current, Over Temperature, Short Circuit",,,6V,,3.3V,0.35V @ 250mA
MCP1701AT-3302I/CB,Microchip Technology,IC REG LIN 3.3V 150MA SOT23A-3,pmic-voltage-regulators-linear,1824,0.7,"TO-236-3, SC-59, SOT-23-3",Surface Mount,Active,https://ww1.microchip.com/downloads/en/DeviceDoc/21991c.pdf,https://www.digikey.com/en/products/detail/microchip-technology/MCP1701AT-3302I-CB/1223017,,150mA,4.5 µA,,,1,-40°C ~ 85°C,Positive,Fixed,,Short Circuit,,,10V,,3.3V,0.7V @ 150mA
MCP1701AT-3302I/MB,Microchip Technology,IC REG LINEAR 3.3V 150MA SOT89-3,pmic-voltage-regulators-linear,3912,0.7,TO-243AA,Surface Mount,Active,https://ww1.microchip.com/downloads/en/DeviceDoc/21991c.pdf,https://www.digikey.com/en/products/detail/microchip-technology/MCP1701AT-3302I-MB/1223019,,150mA,4.5 µA,,,1,-40°C ~ 85°C,Positive,Fixed,,Short Circuit,,,10V,,3.3V,0.7V @ 150mA
MCP1701AT-5002I/CB,Microchip Technology,IC REG LINEAR 5V 250MA SOT23A-3,pmic-voltage-regulators-linear,9161,0.7,"TO-236-3, SC-59, SOT-23-3",Surface Mount,Active,https://ww1.microchip.com/downloads/en/DeviceDoc/21991c.pdf,https://www.digikey.com/en/products/detail/microchip-technology/MCP1701AT-5002I-CB/1223021,,250mA,4.5 µA,,,1,-40°C ~ 85°C,Positive,Fixed,,Short Circuit,,,10V,,5V,0.6V @ 200mA
MCP1702T-3302E/CB,Microchip Technology,IC REG LIN 3.3V 250MA SOT23A-3,pmic-voltage-regulators-linear,25121,0.65,"TO-236-3, SC-59, SOT-23-3",Surface Mount,Active,https://ww1.microchip.com/downloads/en/DeviceDoc/22008E.pdf,https://www.digikey.com/en/products/detail/microchip-technology/MCP1702T-3302E-CB/1098471,,250mA,5 µA,,,1,-40°C ~ 125°C,Positive,Fixed,44dB (100Hz),"Over Current, Over Temperature, Short Circuit",,,13.2V,,3.3V,0.725V @ 250mA
MCP1702T-3302E/MB,Microchip Technology,IC REG LINEAR 3.3V 250MA SOT89-3,pmic-voltage-regulators-linear,4664,0.65,TO-243AA,Surface Mount,Active,https://ww1.microchip.com/downloads/en/DeviceDoc/22008E.pdf,https://www.digikey.com/en/products/detail/microchip-technology/MCP1702T-3302E-MB/1098472,,250mA,5 µA,,,1,-40°C ~ 125°C,Positive,Fixed,44dB (100Hz),"Over Current, Over Temperature, Short Circuit",,,13.2V,,3.3V,0.725V @ 250mA
MCP1702T-4002E/CB,Microchip Technology,IC REG LINEAR 4V 250MA SOT23A-3,pmic-voltage-regulators-linear,6226,0.65,"TO-236-3, SC-59, SOT-23-3",Surface Mount,Active,https://ww1.microchip.com/downloads/en/DeviceDoc/22008E.pdf,https://www.digikey.com/en/products/detail/microchip-technology/MCP1702T-4002E-CB/2179256,,250mA,5 µA,,,1,-40°C ~ 125°C,Positive,Fixed,44dB (100Hz),"Over Current, Over Temperature, Short Circuit",,,13.2V,,4V,0.725V @ 250mA
MCP1702T-5002E/CB,Microchip Technology,IC REG LINEAR 5V 250MA SOT23A-3,pmic-voltage-regulators-linear,20356,0.65,"TO-236-3, SC-59, SOT-23-3",Surface Mount,Active,https://ww1.microchip.com/downloads/en/DeviceDoc/22008E.pdf,https://www.digikey.com/en/products/detail/microchip-technology/MCP1702T-5002E-CB/1098473,,250mA,5 µA,,,1,-40°C ~ 125°C,Positive,Fixed,44dB (100Hz),"Over Current, Over Temperature, Short Circuit",,,13.2V,,5V,0.65V @ 250mA
