MPN,Manufacturer,Description,Subcategory,Stock,Unit Price,Package,Mounting Type,Status,Datasheet URL,Product URL,Filter Order,Filter Type,Frequency - Cutoff or Center,Grade,Number of Filters,Qualification,Series,Voltage - Supply
HMC882ALP5E,Analog Devices Inc.,IC FILTER LOW PASS 32LFCSP,pmic-led-drivers,5,180.21,"32-WFQFN Exposed Pad, CSP",Surface Mount,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/HMC882A.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/HMC882ALP5E/9962401,,Low Pass,3.95GHz ~ 6.9GHz,,1,,,0V ~ 14V
HMC882ALP5ETR,Analog Devices Inc.,IC FILTER LOW PASS 32LFCSP,pmic-led-drivers,0,133.37302,"32-WFQFN Exposed Pad, CSP",Surface Mount,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/HMC882A.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/HMC882ALP5ETR/9973206,,Low Pass,3.95GHz ~ 6.9GHz,,1,,,0V ~ 14V
HMC882LP5E,Analog Devices Inc.,IC FILTER BAND PASS 32SMT,pmic-led-drivers,0,0.0,32-VFQFN Exposed Pad,Surface Mount,Obsolete,https://www.analog.com/media/en/technical-documentation/data-sheets/hmc882.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/HMC882LP5E/3985155,,Band Pass,,,1,,,14V
HMC882LP5ETR,Analog Devices Inc.,IC FILTER BAND PASS 32SMT,pmic-led-drivers,0,0.0,32-VFQFN Exposed Pad,Surface Mount,Obsolete,https://www.analog.com/media/en/technical-documentation/data-sheets/hmc882.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/HMC882LP5ETR/5304392,,Band Pass,,,1,,,14V
HMC890ALP5E,Analog Devices Inc.,IC FILTER 1-1.9GHZ BAND 32LFCSP,pmic-led-drivers,5,180.21,"32-WFQFN Exposed Pad, CSP",Surface Mount,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/HMC890ALP5E.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/HMC890ALP5E/9658691,,Band Pass,1GHz ~ 1.9GHz,,1,,,0V ~ 14V
HMC890ALP5ETR,Analog Devices Inc.,IC FILTER 1-1.9GHZ BAND 32LFCSP,pmic-led-drivers,390,180.21,"32-WFQFN Exposed Pad, CSP",Surface Mount,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/HMC890ALP5E.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/HMC890ALP5ETR/9658819,,Band Pass,1GHz ~ 1.9GHz,,1,,,0V ~ 14V
HMC890LP5E,Analog Devices Inc.,IC FILTER BAND PASS 32SMT,pmic-led-drivers,0,137.54,32-VFQFN Exposed Pad,Surface Mount,Obsolete,https://www.analog.com/media/en/technical-documentation/data-sheets/hmc890.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/HMC890LP5E/5638427,,Band Pass,,,1,,,0V ~ 14V
HMC890LP5ETR,Analog Devices Inc.,IC FILTER BAND PASS 32SMT,pmic-led-drivers,0,0.0,32-VFQFN Exposed Pad,Surface Mount,Obsolete,https://www.analog.com/media/en/technical-documentation/data-sheets/hmc890.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/HMC890LP5ETR/4486095,,Band Pass,,,1,,,0V ~ 14V
HMC891ALP5E,Analog Devices Inc.,IC FILTER BAND PASS 32LFCSP,pmic-led-drivers,101,180.21,"32-WFQFN Exposed Pad, CSP",Surface Mount,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/HMC891ALP5E.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/HMC891ALP5E/9658692,,Band Pass,1.95GHz ~ 3.4GHz,,1,,,0V ~ 14V
HMC891ALP5ETR,Analog Devices Inc.,IC FILTER BAND PASS 32LFCSP,pmic-led-drivers,0,133.37302,"32-WFQFN Exposed Pad, CSP",Surface Mount,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/HMC891ALP5E.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/HMC891ALP5ETR/9658820,,Band Pass,1.95GHz ~ 3.4GHz,,1,,,0V ~ 14V
