MPN,Manufacturer,Description,Subcategory,Stock,Unit Price,Package,Mounting Type,Status,Datasheet URL,Product URL,"Coded, Keyed",Color,Contents,Features,For Use With/Related Products,Gender,Includes,Number of Positions,Series,Size,Stacking Direction,Style,Terminal Size,Terminal Type,Termination Style,Thread Size,Type
174204-1,TE Connectivity AMP Connectors,CONN MALE TAB HSG 0.25 6POS NAT,optoisolators-transistor-photovoltaic-output,1430,0.95,,Free Hanging (In-Line),Active,,https://www.digikey.com/en/products/detail/te-connectivity-amp-connectors/174204-1/5123991,,Natural,,,"0.250"" (6.35mm) Quick Connects","Male, Tab",,6,,,Top to Bottom and Side to Side,Housing,"0.250"" (6.35mm)","Quick Connect, Disconnect",,,
1743067-1,TE Connectivity AMP Connectors,CONN HOUSING 3POS BLACK,optoisolators-transistor-photovoltaic-output,0,2.4548,Bag,Free Hanging (In-Line),Obsolete,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/410/1743067_Dwg.pdf,https://www.digikey.com/en/products/detail/te-connectivity-amp-connectors/1743067-1/4021381,,Black,,,,,,3,,,Side to Side,Housing,,,,,
1743067-2,TE Connectivity AMP Connectors,TERMINAL BLOCK FOR DRYER,optoisolators-transistor-photovoltaic-output,0,0.705,Bag,Free Hanging (In-Line),Active,,https://www.digikey.com/en/products/detail/te-connectivity-amp-connectors/1743067-2/10463960,,Black,,,,"Female, Receptacle",,3,,,Side to Side,Housing,,Crimp on Receptacle,,,
1743102-1,TE Connectivity AMP Connectors,CONN RCPT HSG 0.187 2POS NATURAL,optoisolators-transistor-photovoltaic-output,0,0.22029,,Free Hanging (In-Line),Not For New Designs,,https://www.digikey.com/en/products/detail/te-connectivity-amp-connectors/1743102-1/5157050,,Natural,,,"0.187"" (4.75mm) Quick Connects","Female, Receptacle",,2,Positive Lock,,Top to Bottom,Housing,"0.187"" (4.75mm)","Quick Connect, Disconnect",,,
1743165-1,TE Connectivity AMP Connectors,CONN RCPT HSG 0.25 2POS NATURAL,optoisolators-transistor-photovoltaic-output,0,0.18634,,Free Hanging (In-Line),Active,,https://www.digikey.com/en/products/detail/te-connectivity-amp-connectors/1743165-1/5157059,,Natural,,,"0.250"" (6.35mm) Quick Connects, Flag","Female, Receptacle",,2,Positive Lock EX,,Side to Side,Housing,"0.250"" (6.35mm)","Quick Connect, Disconnect",,,
1743165-2,TE Connectivity AMP Connectors,CONN RCPT HSG 0.25 2POS BLACK,optoisolators-transistor-photovoltaic-output,0,0.21343,,Free Hanging (In-Line),Active,,https://www.digikey.com/en/products/detail/te-connectivity-amp-connectors/1743165-2/5157058,,Black,,,"0.250"" (6.35mm) Quick Connects, Flag","Female, Receptacle",,2,Positive Lock EX,,Side to Side,Housing,"0.250"" (6.35mm)","Quick Connect, Disconnect",,,
1743165-5,TE Connectivity AMP Connectors,CONN RCPT HSG 0.25 2POS YELLOW,optoisolators-transistor-photovoltaic-output,0,0.19571,,Free Hanging (In-Line),Active,,https://www.digikey.com/en/products/detail/te-connectivity-amp-connectors/1743165-5/5157033,,Yellow,,,"0.250"" (6.35mm) Quick Connects, Flag","Female, Receptacle",,2,Positive Lock EX,,Side to Side,Housing,"0.250"" (6.35mm)","Quick Connect, Disconnect",,,
1743165-8,TE Connectivity AMP Connectors,CONN RCPT HOUSING 0.25 2POS BLUE,optoisolators-transistor-photovoltaic-output,0,0.17623,,Free Hanging (In-Line),Active,,https://www.digikey.com/en/products/detail/te-connectivity-amp-connectors/1743165-8/5157044,,Blue,,,"0.250"" (6.35mm) Quick Connects, Flag","Female, Receptacle",,2,Positive Lock EX,,Side to Side,Housing,"0.250"" (6.35mm)","Quick Connect, Disconnect",,,
1743206-1,TE Connectivity AMP Connectors,CONN 250 FLAG PLOCK 2P HSG 12MM,optoisolators-transistor-photovoltaic-output,750,0.57,,-,Not For New Designs,,https://www.digikey.com/en/products/detail/te-connectivity-amp-connectors/1743206-1/5123920,,,,,,,,,,,,,,,,,
1743206-2,TE Connectivity AMP Connectors,CONN 250 FLAG PLOCK 2P HSG 12MM,optoisolators-transistor-photovoltaic-output,494,0.53,,-,Not For New Designs,,https://www.digikey.com/en/products/detail/te-connectivity-amp-connectors/1743206-2/5123922,,,,,,,,,,,,,,,,,
1743419-1,TE Connectivity AMP Connectors,CONN RCPT HSG 0.25 2POS NATURAL,optoisolators-transistor-photovoltaic-output,0,0.24255,,Free Hanging (In-Line),Active,,https://www.digikey.com/en/products/detail/te-connectivity-amp-connectors/1743419-1/4021538,,Natural,,,"0.250"" (6.35mm) Quick Connects","Female, Receptacle",,2,Positive Lock,,Side to Side,Housing,"0.250"" (6.35mm)","Quick Connect, Disconnect",,,
1743419-2,TE Connectivity AMP Connectors,CONN RCPT HOUSING 0.25 2POS RED,optoisolators-transistor-photovoltaic-output,0,0.26305,,Free Hanging (In-Line),Active,,https://www.digikey.com/en/products/detail/te-connectivity-amp-connectors/1743419-2/5157114,,Red,,,"0.250"" (6.35mm) Quick Connects","Female, Receptacle",,2,Positive Lock,,Side to Side,Housing,"0.250"" (6.35mm)","Quick Connect, Disconnect",,,
1743643-1,TE Connectivity AMP Connectors,CONN RCPT HSG 0.25 2POS NATURAL,optoisolators-transistor-photovoltaic-output,0,0.48615,,Free Hanging (In-Line),Active,,https://www.digikey.com/en/products/detail/te-connectivity-amp-connectors/1743643-1/5157077,,Natural,,,"0.250"" (6.35mm) Quick Connects, Flag","Female, Receptacle",,2,,,Side to Side,Housing,"0.250"" (6.35mm)","Quick Connect, Disconnect",,,
174429-1,TE Connectivity AMP Connectors,CONN RCPT HSG 0.25 4POS NATURAL,optoisolators-transistor-photovoltaic-output,0,0.94535,Bag,Free Hanging (In-Line),Active,,https://www.digikey.com/en/products/detail/te-connectivity-amp-connectors/174429-1/2259111,,Natural,,,"0.250"" (6.35mm) Quick Connects","Female, Receptacle",,4,Mark II,,Top to Bottom,Housing,"0.250"" (6.35mm)","Quick Connect, Disconnect",,,
174513-1,TE Connectivity AMP Connectors,CONN RCPT HSG 0.187 4POS NATURAL,optoisolators-transistor-photovoltaic-output,582,0.7,,Free Hanging (In-Line),Obsolete,,https://www.digikey.com/en/products/detail/te-connectivity-amp-connectors/174513-1/2307918,,Natural,,,"0.187"" (4.75mm) Quick Connects","Female, Receptacle",,4,Mark II,,Top to Bottom,Housing,"0.187"" (4.75mm)","Quick Connect, Disconnect",,,
174587-1,TE Connectivity AMP Connectors,CONN RCPT HSG 0.187 2POS NATURAL,optoisolators-transistor-photovoltaic-output,0,0.06513,,Free Hanging (In-Line),Active,,https://www.digikey.com/en/products/detail/te-connectivity-amp-connectors/174587-1/1149432,,Natural,,,"0.187"" (4.75mm) Quick Connects","Female, Receptacle",,2,Mark II,,Top to Bottom,Housing,"0.187"" (4.75mm)","Quick Connect, Disconnect",,,
174712-1,TE Connectivity AMP Connectors,CONN RCPT HSG 0.187 2POS NATURAL,optoisolators-transistor-photovoltaic-output,0,0.16,,Free Hanging (In-Line),Active,,https://www.digikey.com/en/products/detail/te-connectivity-amp-connectors/174712-1/2307922,,Natural,,,"0.187"" (4.75mm) Quick Connects","Female, Receptacle",,2,Mark II,,Top to Bottom,Housing,"0.187"" (4.75mm)","Quick Connect, Disconnect",,,
