MPN,Manufacturer,Description,Subcategory,Stock,Unit Price,Package,Mounting Type,Status,Datasheet URL,Product URL,Applications,Bidirectional Channels,Capacitance @ Frequency,Current - Peak Pulse (10/1000µs),Grade,Operating Temperature,Power - Peak Pulse,Power Line Protection,Qualification,Series,Type,Unidirectional Channels,Voltage - Breakdown (Min),Voltage - Clamping (Max) @ Ipp,Voltage - Reverse Standoff (Typ)
ESD8104MUTAG,onsemi,TVS DIODE 3.3VWM 11.4VC 10UDFN,tvs-diodes,173265,0.95,10-UFDFN,Surface Mount,Active,,https://www.digikey.com/en/products/detail/onsemi/ESD8104MUTAG/4810862,"HDMI, USB",,0.3pF @ 1MHz,16A (100ns),,-55°C ~ 125°C (TJ),,No,,,Zener,4,4V,11.4V (Typ),3.3V (Max)
ESD8351MUT5G,onsemi,TVS DIODE 3.3VWM 11.2VC 2X3DFN,tvs-diodes,13290,0.44,0201 (0603 Metric),Surface Mount,Active,,https://www.digikey.com/en/products/detail/onsemi/ESD8351MUT5G/5256977,General Purpose,,0.37pF @ 1MHz,5A (8/20µs),,-55°C ~ 125°C (TJ),,No,,,Zener,1,5.5V,11.2V,3.3V (Max)
ESD8351XV2T1G,onsemi,TVS DIODE 3.3VWM 11.2VC SOD523,tvs-diodes,3450,0.32,"SC-79, SOD-523",Surface Mount,Active,,https://www.digikey.com/en/products/detail/onsemi/ESD8351XV2T1G/5257579,General Purpose,,0.4pF @ 1MHz,5A (8/20µs),,-55°C ~ 125°C (TJ),,No,,ESD8351,Zener,1,5.5V,11.2V,3.3V (Max)
ESD8472MUT3G,onsemi,TVS DIODE 5.3VWM 20VC 2X3DFN,tvs-diodes,32414,0.57,0201 (0603 Metric),Surface Mount,Active,https://www.onsemi.com/pdf/datasheet/esd8472-d.pdf,https://www.digikey.com/en/products/detail/onsemi/ESD8472MUT3G/5817199,RF Antenna,1,0.2pF @ 1MHz,3A (8/20µs),,-55°C ~ 150°C (TJ),,No,,,Zener,,7V,20V,5.3V (Max)
ESD8472MUT5G,onsemi,TVS DIODE 5.3VWM 14VC 2X3DFN,tvs-diodes,332668,0.28,0201 (0603 Metric),Surface Mount,Active,,https://www.digikey.com/en/products/detail/onsemi/ESD8472MUT5G/5257582,RF Antenna,1,0.2pF @ 1MHz,3A (8/20µs),,-55°C ~ 150°C (TJ),,No,,,Zener,,7V,14V,5.3V (Max)
ESD851DYFR,Texas Instruments,TVS DIODE 36VWM 71VC SOD323,tvs-diodes,2490,0.25,"SC-76, SOD-323",Surface Mount,Active,https://www.ti.com/lit/ds/symlink/esd851.pdf?ts=1731602948832,https://www.digikey.com/en/products/detail/texas-instruments/ESD851DYFR/25323370,General Purpose,1,4.3pF @ 1MHz,6.5A (8/20µs),,-55°C ~ 150°C (TA),400W,No,,,Zener,,37.8V,71V,36V (Max)
ESD851DYFRQ1,Texas Instruments,AUTOMOTIVE 36V BIDIRECTIONAL ESD,tvs-diodes,3025,0.28,"SC-76, SOD-323",Surface Mount,Active,https://www.ti.com/lit/ds/symlink/esd851-q1.pdf?ts=1749226960042,https://www.digikey.com/en/products/detail/texas-instruments/ESD851DYFRQ1/26251050,,1,4.3pF @ 1MHz,6.5A (8/20µs),Automotive,-55°C ~ 150°C (TA),400W,No,AEC-Q100,,Zener,,37.8V,71V,36V (Max)
ESD8704MUTAG,onsemi,TVS DIODE 3.3VWM 10UDFN,tvs-diodes,0,0.62,10-UFDFN,Surface Mount,Active,,https://www.digikey.com/en/products/detail/onsemi/ESD8704MUTAG/5817202,General Purpose,,0.3pF @ 1MHz,,,-55°C ~ 125°C (TJ),,No,,,Zener,4,5V (Typ),,3.3V (Max)
ESD9101P2T5G,onsemi,TVS DIODE 5VWM 7VC SOD923,tvs-diodes,1190989,0.35,SOD-923,Surface Mount,Active,,https://www.digikey.com/en/products/detail/onsemi/ESD9101P2T5G/7066747,General Purpose,,0.36pF @ 1MHz,16A,,-55°C ~ 150°C (TJ),,No,,,Zener,1,5.3V,7V (Typ),5V (Max)
ESD9B3.3ST5G,onsemi,TVS DIODE 3.3VWM 11.5VC SOD923,tvs-diodes,214177,0.22,SOD-923,Surface Mount,Active,,https://www.digikey.com/en/products/detail/onsemi/ESD9B3-3ST5G/1973669,General Purpose,1,15pF @ 1MHz,2A (8/20µs),,-55°C ~ 150°C (TJ),,No,,,Zener,,5V,11.5V,3.3V (Max)
ESD9C3.3ST5G,onsemi,TVS DIODE 3.3VWM SOD923,tvs-diodes,216966,0.28,SOD-923,Surface Mount,Active,,https://www.digikey.com/en/products/detail/onsemi/ESD9C3-3ST5G/1646450,,,12.8pF @ 1MHz,,,-55°C ~ 150°C (TJ),,No,,,Zener,1,5V,,3.3V (Max)
ESD9L3.3ST5G,onsemi,TVS DIODE 3.3VWM 9VC SOD923,tvs-diodes,11111,0.33,SOD-923,Surface Mount,Active,,https://www.digikey.com/en/products/detail/onsemi/ESD9L3-3ST5G/1961066,General Purpose,,0.5pF @ 1MHz,,,-55°C ~ 150°C (TJ),,No,,,Zener,1,4.8V,9V,3.3V (Max)
ESD9L5.0ST5G,onsemi,TVS DIODE 5VWM 9.8VC SOD923,tvs-diodes,935886,0.33,SOD-923,Surface Mount,Active,,https://www.digikey.com/en/products/detail/onsemi/ESD9L5-0ST5G/1693175,General Purpose,,0.5pF @ 1MHz,1A (8/20µs),,-55°C ~ 150°C (TJ),,No,,,Zener,1,5.4V,9.8V,5V (Max)
ESD9M5.0ST5G,onsemi,TVS DIODE 5VWM 9.8VC SOD923,tvs-diodes,56574,0.36,SOD-923,Surface Mount,Active,,https://www.digikey.com/en/products/detail/onsemi/ESD9M5-0ST5G/1853460,,,2.5pF @ 1MHz,1A (8/20µs),,-55°C ~ 150°C (TJ),,No,,,Zener,1,5.8V,9.8V,5V (Max)
ESD9X12ST5G,onsemi,TVS DIODE 12VWM 23.7VC SOD923,tvs-diodes,0,0.23,SOD-923,Surface Mount,Active,,https://www.digikey.com/en/products/detail/onsemi/ESD9X12ST5G/1476614,General Purpose,,30pF @ 1MHz,5.9A (8/20µs),,-55°C ~ 150°C (TJ),140W,No,,,Zener,1,13.5V,23.7V,12V (Max)
ESD9X3.3ST5G,onsemi,TVS DIODE 3.3VWM 10.4VC SOD923,tvs-diodes,46208,0.26,SOD-923,Surface Mount,Active,,https://www.digikey.com/en/products/detail/onsemi/ESD9X3-3ST5G/1476615,General Purpose,,80pF @ 1MHz,9.8A (8/20µs),,-55°C ~ 150°C (TJ),102W,No,,,Zener,1,5V,10.4V,3.3V (Max)
ESD9X5.0ST5G,onsemi,TVS DIODE 5VWM 12.3VC SOD923,tvs-diodes,1581,0.17,SOD-923,Surface Mount,Active,,https://www.digikey.com/en/products/detail/onsemi/ESD9X5-0ST5G/1476616,General Purpose,,65pF @ 1MHz,8.7A (8/20µs),,-55°C ~ 150°C (TJ),107W,No,,,Zener,1,6.2V,12.3V,5V (Max)
ESD9X7.0ST5G,onsemi,TVS DIODE 7VWM 25VC SOD923,tvs-diodes,43284,0.22,SOD-923,Surface Mount,Active,,https://www.digikey.com/en/products/detail/onsemi/ESD9X7-0ST5G/1961068,General Purpose,,65pF @ 1MHz,4A (8/20µs),,-55°C ~ 150°C (TJ),100W,No,,,Zener,1,7.5V,25V,7V (Max)
ESDA051-1JY,STMicroelectronics,TVS DIODE 5VWM 12.8VC SOD323,tvs-diodes,72959,0.33,"SC-76, SOD-323",Surface Mount,Active,https://www.st.com/resource/en/datasheet/esda051-1jy.pdf,https://www.digikey.com/en/products/detail/stmicroelectronics/ESDA051-1JY/11686344,,,,20A (8/20µs),Automotive,-55°C ~ 150°C (TJ),,No,AEC-Q101,ESDA,Zener,1,6.2V,12.8V,5V (Max)
ESDA13P70-1U1M,STMicroelectronics,TVS DIODE 12VWM 20VC 1610,tvs-diodes,4716,0.54,2-UDFN,Surface Mount,Active,https://www.st.com/resource/en/datasheet/dm00218249.pdf,https://www.digikey.com/en/products/detail/stmicroelectronics/ESDA13P70-1U1M/5805503,General Purpose,,,60A (8/20µs),,-55°C ~ 150°C (TJ),1300W (1.3kW),No,,,Zener,1,12.5V,20V,12V
ESDA14V2L,STMicroelectronics,TVS DIODE 12VWM SOT23-3,tvs-diodes,14348,0.33,"TO-236-3, SC-59, SOT-23-3",Surface Mount,Active,https://www.st.com/resource/en/datasheet/cd00002057.pdf,https://www.digikey.com/en/products/detail/stmicroelectronics/ESDA14V2L/1037969,General Purpose,,,14A (8/20µs),,-40°C ~ 150°C (TJ),300W,No,,"ESDA, TRANSIL™",Zener,2,14.2V,,12V
ESDA14V2LY,STMicroelectronics,TVS DIODE 12VWM 21VC SOT23-3,tvs-diodes,6894,0.54,"TO-236-3, SC-59, SOT-23-3",Surface Mount,Active,https://www.st.com/resource/en/datasheet/dm00035279.pdf,https://www.digikey.com/en/products/detail/stmicroelectronics/ESDA14V2LY/3661700,,,,14A (8/20µs),Automotive,-40°C ~ 150°C (TJ),300W,No,AEC-Q101,"ESDAY, TRANSIL™",Zener,2,14.2V,21V,12V
ESDA14V2SC6,STMicroelectronics,TVS DIODE 12VWM SOT23-6,tvs-diodes,6087,0.56,SOT-23-6,Surface Mount,Active,https://www.st.com/resource/en/datasheet/cd00002055.pdf,https://www.digikey.com/en/products/detail/stmicroelectronics/ESDA14V2SC6/1037971,General Purpose,,,,,-40°C ~ 125°C (TA),300W,No,,"ESDA, TRANSIL™",Zener,4,14.2V,,12V
ESDA25L,STMicroelectronics,TVS DIODE 24VWM SOT23-3,tvs-diodes,41750,0.36,"TO-236-3, SC-59, SOT-23-3",Surface Mount,Active,https://www.st.com/resource/en/datasheet/cd00002057.pdf,https://www.digikey.com/en/products/detail/stmicroelectronics/ESDA25L/810921,General Purpose,,,7A (8/20µs),,-40°C ~ 150°C (TJ),300W,No,,"ESDA, TRANSIL™",Zener,2,25V,,24V
ESDA25LY,STMicroelectronics,TVS DIODE 24VWM 43VC SOT23-3,tvs-diodes,10280,0.4,"TO-236-3, SC-59, SOT-23-3",Surface Mount,Active,https://www.st.com/resource/en/datasheet/dm00035279.pdf,https://www.digikey.com/en/products/detail/stmicroelectronics/ESDA25LY/2442900,,,,7A (8/20µs),Automotive,-40°C ~ 150°C (TJ),300W,No,AEC-Q101,"ESDAY, TRANSIL™",Zener,2,25V,43V,24V
ESDA25P35-1U1M,STMicroelectronics,TVS DIODE 22VWM 41VC 1610,tvs-diodes,84763,0.54,2-UDFN,Surface Mount,Active,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/6464/ESDA7P60-1U1M.pdf,https://www.digikey.com/en/products/detail/stmicroelectronics/ESDA25P35-1U1M/6230124,General Purpose,,,35A (8/20µs),,-55°C ~ 150°C (TJ),1400W (1.4kW),No,,ESDA,Zener,1,23.3V,41V,22V
ESDA25W,STMicroelectronics,TVS DIODE 24VWM SOT323,tvs-diodes,164573,0.45,"SC-70, SOT-323",Surface Mount,Active,https://www.st.com/resource/en/datasheet/cd00064033.pdf,https://www.digikey.com/en/products/detail/stmicroelectronics/ESDA25W/1037976,General Purpose,,,,,-40°C ~ 125°C (TJ),400W,No,,"ESDA, TRANSIL™",Zener,2,25V,,24V
ESDA37LY,STMicroelectronics,TVS DIODE 36VWM SOT233,tvs-diodes,19896,0.44,"TO-236-3, SC-59, SOT-23-3",Surface Mount,Active,https://www.st.com/resource/en/datasheet/dm00035279.pdf,https://www.digikey.com/en/products/detail/stmicroelectronics/ESDA37LY/9487326,,,,6.3A (8/20µs),Automotive,-40°C ~ 150°C (TJ),300W,No,AEC-Q101,"ESDAY, TRANSIL™",Zener,2,37V,,36V
ESDA5-1BF4,STMicroelectronics,TVS DIODE 5VWM 11VC 0201,tvs-diodes,15901,0.22,0201 (0603 Metric),Surface Mount,Active,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/2218/ESDA5-1BF4_DS.pdf,https://www.digikey.com/en/products/detail/stmicroelectronics/ESDA5-1BF4/5210302,General Purpose,1,45pF @ 1MHz,10A (8/20µs),,-40°C ~ 150°C (TJ),110W,No,,,Zener,,5.8V,11V,5V
