MPN,Manufacturer,Description,Subcategory,Stock,Unit Price,Package,Mounting Type,Status,Datasheet URL,Product URL,Accuracy - Highest (Lowest),Features,Grade,Operating Temperature,Output Type,Qualification,Resolution,Sensing Temperature - Local,Sensing Temperature - Remote,Sensor Type,Series,Test Condition,Voltage - Supply
A/TT100-BO-2,"Automation Components, Inc.","Transmitter w/ 100 Ohm RTD, Boar",temperature-sensors-analog-and-digital-output,25,137.6,Module,Chassis Mount,Active,,https://www.digikey.com/en/products/detail/automation-components-inc/A-TT100-BO-2/17282381,±0.2%,,,-40°C ~ 85°C,Analog Voltage,,,-40°C ~ 85°C,,"Analog, Local",,260°C,8.5V ~ 32V
A/TT100-BO-4,"Automation Components, Inc.","Transmitter w/ 100 Ohm RTD, Boar",temperature-sensors-analog-and-digital-output,25,141.6,Module,Chassis Mount,Active,,https://www.digikey.com/en/products/detail/automation-components-inc/A-TT100-BO-4/17281721,±0.2%,,,-40°C ~ 85°C,Analog Current,,,-40°C ~ 85°C,,"Analog, Local",,260°C,8.5V ~ 32V
A/TT100-BO-4-4X,"Automation Components, Inc.","Transmitter w/ 100 Ohm RTD, Boar",temperature-sensors-analog-and-digital-output,25,180.8,Module,Chassis Mount,Active,,https://www.digikey.com/en/products/detail/automation-components-inc/A-TT100-BO-4-4X/17280505,±0.2%,,,-40°C ~ 85°C,Analog Current,,,-40°C ~ 85°C,,"Analog, Local",,260°C,8.5V ~ 32V
A/TT100-BO-4-4X-POTTED,"Automation Components, Inc.","Transmitter w/ 100 Ohm RTD, Boar",temperature-sensors-analog-and-digital-output,25,206.4,Module,Chassis Mount,Active,https://www.workaci.com/sites/default/files/category-files/Transmitters Board Only.pdf,https://www.digikey.com/en/products/detail/automation-components-inc/A-TT100-BO-4-4X-POTTED/17285675,±0.2%,,,-40°C ~ 85°C,Analog Current,,,-40°C ~ 85°C,,"Analog, Local",,260°C,8.5V ~ 32V
A/TT100-BO-4-POTTED,"Automation Components, Inc.","Transmitter w/ 100 Ohm RTD, Boar",temperature-sensors-analog-and-digital-output,25,163.2,Module,Chassis Mount,Active,,https://www.digikey.com/en/products/detail/automation-components-inc/A-TT100-BO-4-POTTED/17282161,±0.2%,,,-40°C ~ 85°C,Analog Current,,,-40°C ~ 85°C,,"Analog, Local",,260°C,8.5V ~ 32V
A/TT100-BP-1-GD-10'CL2P,"Automation Components, Inc.","Transmitter w/ 100 Ohm RTD, Bull",temperature-sensors-analog-and-digital-output,25,206.4,Probe,Free Hanging,Active,https://www.workaci.com/sites/default/files/category-files/Transmitters Bullet Probe.pdf,https://www.digikey.com/en/products/detail/automation-components-inc/A-TT100-BP-1-GD-10-CL2P/17286248,±0.2%,,,-40°C ~ 200°C,Analog Voltage,,,-40°C ~ 150°C,,"Analog, Local",,260°C,8.5V ~ 32V
A/TT100-BP-1-PB-10CL2P,"Automation Components, Inc.","Transmitter w/ 100 Ohm RTD, Bull",temperature-sensors-analog-and-digital-output,25,206.4,Probe,Free Hanging,Active,https://www.workaci.com/sites/default/files/category-files/Transmitters Bullet Probe.pdf,https://www.digikey.com/en/products/detail/automation-components-inc/A-TT100-BP-1-PB-10CL2P/17285752,±0.2%,,,-40°C ~ 200°C,Analog Voltage,,,-40°C ~ 150°C,,"Analog, Local",,260°C,8.5V ~ 32V
A/TT100-BP-2-GD-20'CL2P,"Automation Components, Inc.","Transmitter w/ 100 Ohm RTD, Bull",temperature-sensors-analog-and-digital-output,25,227.2,Probe,Free Hanging,Active,https://www.workaci.com/sites/default/files/category-files/Transmitters Bullet Probe.pdf,https://www.digikey.com/en/products/detail/automation-components-inc/A-TT100-BP-2-GD-20-CL2P/17287056,±0.2%,,,-40°C ~ 200°C,Analog Voltage,,,-40°C ~ 150°C,,"Analog, Local",,260°C,8.5V ~ 32V
A/TT100-BP-4-4X-6'CL2P,"Automation Components, Inc.","Transmitter w/ 100 Ohm RTD, Bull",temperature-sensors-analog-and-digital-output,25,244.8,Probe,Free Hanging,Active,,https://www.digikey.com/en/products/detail/automation-components-inc/A-TT100-BP-4-4X-6-CL2P/17281239,±0.2%,,,-40°C ~ 200°C,Analog Current,,,-40°C ~ 150°C,,"Analog, Local",,260°C,8.5V ~ 32V
A/TT100-BP-4-GD-20'CL2P,"Automation Components, Inc.","Transmitter w/ 100 Ohm RTD, Bull",temperature-sensors-analog-and-digital-output,25,227.2,Probe,Free Hanging,Active,,https://www.digikey.com/en/products/detail/automation-components-inc/A-TT100-BP-4-GD-20-CL2P/17281124,±0.2%,,,-40°C ~ 200°C,Analog Current,,,-40°C ~ 150°C,,"Analog, Local",,260°C,8.5V ~ 32V
A/TT100-BP-4-PB-20'CL2P,"Automation Components, Inc.","Transmitter w/ 100 Ohm RTD, Bull",temperature-sensors-analog-and-digital-output,25,227.2,Probe,Free Hanging,Active,,https://www.digikey.com/en/products/detail/automation-components-inc/A-TT100-BP-4-PB-20-CL2P/17279894,±0.2%,,,-40°C ~ 200°C,Analog Current,,,-40°C ~ 150°C,,"Analog, Local",,260°C,8.5V ~ 32V
"A/TT100-D-12""-2-GD","Automation Components, Inc.","Transmitter w/ 100 Ohm RTD, Duct",temperature-sensors-analog-and-digital-output,25,200.8,Module,Chassis Mount,Active,,https://www.digikey.com/en/products/detail/automation-components-inc/A-TT100-D-12-2-GD/17279752,±0.2%,,,-40°C ~ 85°C,Analog Voltage,,,-40°C ~ 395°C,,"Analog, Local",,260°C,8.5V ~ 32V
"A/TT100-D-12""-2-PB","Automation Components, Inc.","Transmitter w/ 100 Ohm RTD, Duct",temperature-sensors-analog-and-digital-output,25,200.8,Module,Chassis Mount,Active,,https://www.digikey.com/en/products/detail/automation-components-inc/A-TT100-D-12-2-PB/17281877,±0.2%,,,-40°C ~ 85°C,Analog Voltage,,,-40°C ~ 200°C,,"Analog, Local",,260°C,8.5V ~ 32V
"A/TT100-D-12""-4-4X","Automation Components, Inc.","Transmitter w/ 100 Ohm RTD, Duct",temperature-sensors-analog-and-digital-output,25,244.8,Module,Chassis Mount,Active,,https://www.digikey.com/en/products/detail/automation-components-inc/A-TT100-D-12-4-4X/17280997,±0.2%,,,-40°C ~ 85°C,Analog Current,,,-40°C ~ 200°C,,"Analog, Local",,260°C,8.5V ~ 32V
"A/TT100-D-12""-4-BB","Automation Components, Inc.","Transmitter w/ 100 Ohm RTD, Duct",temperature-sensors-analog-and-digital-output,25,221.6,Module,Chassis Mount,Active,,https://www.digikey.com/en/products/detail/automation-components-inc/A-TT100-D-12-4-BB/17282234,±0.2%,,,-40°C ~ 85°C,Analog Current,,,-40°C ~ 200°C,,"Analog, Local",,260°C,8.5V ~ 32V
"A/TT100-D-12""-4-GD","Automation Components, Inc.","Transmitter w/ 100 Ohm RTD, Duct",temperature-sensors-analog-and-digital-output,25,200.8,Module,Chassis Mount,Active,,https://www.digikey.com/en/products/detail/automation-components-inc/A-TT100-D-12-4-GD/17281837,±0.2%,,,-40°C ~ 85°C,Analog Current,,,-40°C ~ 200°C,,"Analog, Local",,260°C,8.5V ~ 32V
"A/TT100-D-12""-4-PB","Automation Components, Inc.","Transmitter w/ 100 Ohm RTD, Duct",temperature-sensors-analog-and-digital-output,25,200.8,Module,Chassis Mount,Active,,https://www.digikey.com/en/products/detail/automation-components-inc/A-TT100-D-12-4-PB/17280608,±0.2%,,,-40°C ~ 85°C,Analog Current,,,-40°C ~ 200°C,,"Analog, Local",,260°C,8.5V ~ 32V
"A/TT100-D-18""-1-GD","Automation Components, Inc.","Transmitter w/ 100 Ohm RTD, Duct",temperature-sensors-analog-and-digital-output,25,196.8,Module,Chassis Mount,Active,,https://www.digikey.com/en/products/detail/automation-components-inc/A-TT100-D-18-1-GD/17287295,±0.2%,,,-40°C ~ 85°C,Analog Voltage,,,-40°C ~ 395°C,,"Analog, Local",,260°C,8.5V ~ 32V
"A/TT100-D-18""-4-4X","Automation Components, Inc.","Transmitter w/ 100 Ohm RTD, Duct",temperature-sensors-analog-and-digital-output,25,251.2,Module,Chassis Mount,Active,,https://www.digikey.com/en/products/detail/automation-components-inc/A-TT100-D-18-4-4X/17281852,±0.2%,,,-40°C ~ 85°C,Analog Current,,,-40°C ~ 200°C,,"Analog, Local",,260°C,8.5V ~ 32V
"A/TT100-D-18""-4-BB","Automation Components, Inc.","Transmitter w/ 100 Ohm RTD, Duct",temperature-sensors-analog-and-digital-output,25,230.4,Module,Chassis Mount,Active,,https://www.digikey.com/en/products/detail/automation-components-inc/A-TT100-D-18-4-BB/17280448,±0.2%,,,-40°C ~ 85°C,Analog Current,,,-40°C ~ 200°C,,"Analog, Local",,260°C,8.5V ~ 32V
"A/TT100-D-18""-4-GD","Automation Components, Inc.","Transmitter w/ 100 Ohm RTD, Duct",temperature-sensors-analog-and-digital-output,25,214.4,Module,Chassis Mount,Active,,https://www.digikey.com/en/products/detail/automation-components-inc/A-TT100-D-18-4-GD/17282032,±0.2%,,,-40°C ~ 85°C,Analog Current,,,-40°C ~ 200°C,,"Analog, Local",,260°C,8.5V ~ 32V
"A/TT100-D-18""-4-PB","Automation Components, Inc.","Transmitter w/ 100 Ohm RTD, Duct",temperature-sensors-analog-and-digital-output,25,208.0,Module,Chassis Mount,Active,,https://www.digikey.com/en/products/detail/automation-components-inc/A-TT100-D-18-4-PB/17281453,±0.2%,,,-40°C ~ 85°C,Analog Current,,,-40°C ~ 200°C,,"Analog, Local",,260°C,8.5V ~ 32V
"A/TT100-D-4""-2-GD","Automation Components, Inc.","Transmitter w/ 100 Ohm RTD, Duct",temperature-sensors-analog-and-digital-output,25,205.6,Module,Chassis Mount,Active,,https://www.digikey.com/en/products/detail/automation-components-inc/A-TT100-D-4-2-GD/17280898,±0.2%,,,-40°C ~ 85°C,Analog Voltage,,,-40°C ~ 200°C,,"Analog, Local",,260°C,8.5V ~ 32V
"A/TT100-D-4""-4-4X","Automation Components, Inc.","Transmitter w/ 100 Ohm RTD, Duct",temperature-sensors-analog-and-digital-output,25,244.8,Module,Chassis Mount,Active,,https://www.digikey.com/en/products/detail/automation-components-inc/A-TT100-D-4-4-4X/17280930,±0.2%,,,-40°C ~ 85°C,Analog Current,,,-40°C ~ 200°C,,"Analog, Local",,260°C,8.5V ~ 32V
"A/TT100-D-4""-4-BB","Automation Components, Inc.","Transmitter w/ 100 Ohm RTD, Duct",temperature-sensors-analog-and-digital-output,25,221.6,Module,Chassis Mount,Active,,https://www.digikey.com/en/products/detail/automation-components-inc/A-TT100-D-4-4-BB/17280775,±0.2%,,,-40°C ~ 85°C,Analog Current,,,-40°C ~ 200°C,,"Analog, Local",,260°C,8.5V ~ 32V
