MPN,Manufacturer,Description,Subcategory,Stock,Unit Price,Package,Mounting Type,Status,Datasheet URL,Product URL,Battery Chemistry,Function,Number of Bits/Stages,Operating Temperature,Series
MPY534KH,Texas Instruments,IC MULT TO-100-10,interface-specialized,144,45.38,TO-100-10 Metal Can,,Obsolete,,https://www.digikey.com/en/products/detail/texas-instruments/MPY534KH/11526701,,Analog Multiplier,4-Quadrant,,MPY
MPY534LD,Burr Brown,IC MULT 14-CDIP,interface-specialized,338,81.39,"14-CDIP (0.300"", 7.62mm)",,Obsolete,https://rocelec.widen.net/view/pdf/e5nwhd7ywq/TXIIS76075-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/MPY534LD/11544550,,Analog Multiplier,4-Quadrant,,MPY
MPY534LH,Burr Brown,IC MULT TO-100-10,interface-specialized,0,0.0,TO-100-10 Metal Can,,Obsolete,https://rocelec.widen.net/view/pdf/e5nwhd7ywq/TXIIS76075-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/MPY534LH/11553537,,Analog Multiplier,4-Quadrant,,MPY
MPY534SH,Texas Instruments,IC MULT TO-100-10,interface-specialized,349,57.3,TO-100-10 Metal Can,,Obsolete,,https://www.digikey.com/en/products/detail/texas-instruments/MPY534SH/11526767,,Analog Multiplier,4-Quadrant,,MPY
MPY534TD,Burr Brown,IC MULT 14-CDIP,interface-specialized,146,67.85,"14-CDIP (0.300"", 7.62mm)",,Obsolete,https://rocelec.widen.net/view/pdf/e5nwhd7ywq/TXIIS76075-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/MPY534TD/11545391,,Analog Multiplier,4-Quadrant,,MPY
MPY534TH,Burr Brown,IC MULT TO-100-10,interface-specialized,165,61.24,TO-100-10 Metal Can,,Obsolete,https://rocelec.widen.net/view/pdf/e5nwhd7ywq/TXIIS76075-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/MPY534TH/11545899,,Analog Multiplier,4-Quadrant,,MPY
MPY535LH,Burr Brown,ANALOG MULTIPLIER OR DIVIDER,interface-specialized,134,32.55,-,,Active,,https://www.digikey.com/en/products/detail/rochester-electronics-llc/MPY535LH/12601760,,,,,*
MPY634KP,Texas Instruments,IC MULT 14-PDIP,interface-specialized,631,47.77,"14-DIP (0.300"", 7.62mm)",,Active,,https://www.digikey.com/en/products/detail/texas-instruments/MPY634KP/251116,,Analog Multiplier,4-Quadrant,,MPY
MPY634KPG4,Texas Instruments,IC MULT 14-PDIP,interface-specialized,0,20.2896,"14-DIP (0.300"", 7.62mm)",,Discontinued at DigiKey,,https://www.digikey.com/en/products/detail/texas-instruments/MPY634KPG4/1511376,,Analog Multiplier,4-Quadrant,,MPY
MPY634KU,Texas Instruments,IC MULT 16-SOIC,interface-specialized,0,35.35375,"16-SOIC (0.295"", 7.50mm Width)",,Last Time Buy,,https://www.digikey.com/en/products/detail/texas-instruments/MPY634KU/301100,,Analog Multiplier,4-Quadrant,,MPY
MPY634KU/1K,Texas Instruments,IC MULT 16-SOIC,interface-specialized,6165,27.43,"16-SOIC (0.295"", 7.50mm Width)",,Active,,https://www.digikey.com/en/products/detail/rochester-electronics-llc/MPY634KU-1K/13504424,,Analog Multiplier,4-Quadrant,,MPY
MPY634KU/1KE4,Texas Instruments,IC MULT 16-SOIC,interface-specialized,0,28.23898,"16-SOIC (0.295"", 7.50mm Width)",,Active,https://www.ti.com/lit/ds/symlink/mpy634.pdf?ts=1694794567712&ref_url=https%253A%252F%252Fwww.ti.com%252Fsitesearch%252Fen-us%252Fdocs%252Funiversalsearch.tsp%253FlangPref%253Den-US%2526searchTerm%253DMPY634KU%252F1KE4%2526nr%253D3,https://www.digikey.com/en/products/detail/texas-instruments/MPY634KU-1KE4/18159202,,Analog Multiplier,4-Quadrant,,
MPY634KUE4,Texas Instruments,IC MULT 16-SOIC,interface-specialized,0,35.35375,"16-SOIC (0.295"", 7.50mm Width)",,Last Time Buy,https://www.ti.com/lit/ds/symlink/mpy634.pdf?ts=1709563315805&ref_url=https%253A%252F%252Fwww.ti.com%252Fsitesearch%252Fen-us%252Fdocs%252Funiversalsearch.tsp%253FlangPref%253Den-US%2526searchTerm%253Danalog%2Bmultiplier%2526nr%253D18077,https://www.digikey.com/en/products/detail/texas-instruments/MPY634KUE4/18181748,,Analog Multiplier,4-Quadrant,,
MPY634KUG4,Texas Instruments,IC MULT 16-SOIC,interface-specialized,0,20.5805,"16-SOIC (0.295"", 7.50mm Width)",,Discontinued at DigiKey,,https://www.digikey.com/en/products/detail/texas-instruments/MPY634KUG4/1511379,,Analog Multiplier,4-Quadrant,,MPY
