MPN,Manufacturer,Description,Subcategory,Stock,Unit Price,Package,Mounting Type,Status,Datasheet URL,Product URL,Count Rate,Direction,Grade,Logic Type,Number of Bits per Element,Number of Elements,Operating Temperature,Qualification,Reset,Series,Timing,Trigger Type,Voltage - Supply
"74HCT4520N,112",Nexperia USA Inc.,IC BINARY COUNTER DL 4BIT 16DIP,pmic-gate-drivers,1000,1.66,"16-DIP (0.300"", 7.62mm)",Through Hole,Obsolete,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/2089/74HC%28T%294520.pdf,https://www.digikey.com/en/products/detail/rochester-electronics-llc/74HCT4520N-112/11536461,58 MHz,Up,,Binary Counter,4,2,-40°C ~ 125°C,,Asynchronous,74HCT,Synchronous,"Positive, Negative",4.5 V ~ 5.5 V
"74HCT6323AD,112",Nexperia USA Inc.,74HCT6323 - NOW NEXPERIA 74HCT63,pmic-gate-drivers,1626,1.78,"8-SOIC (0.154"", 3.90mm Width)",Surface Mount,Active,https://assets.nexperia.com/documents/data-sheet/74HC_HCT6323A.pdf,https://www.digikey.com/en/products/detail/rochester-electronics-llc/74HCT6323AD-112/15646034,85 MHz,Up,,Divide-by-N,3,1,-40°C ~ 125°C,,Asynchronous,74HCT,,Negative Edge,
74HCT6323AD/C4J,Nexperia USA Inc.,IC BINARY COUNTER 3-BIT 8SOIC,pmic-gate-drivers,25000,1.78,"8-SOIC (0.154"", 3.90mm Width)",Surface Mount,Active,https://assets.nexperia.com/documents/data-sheet/74HC_HCT6323A.pdf,https://www.digikey.com/en/products/detail/rochester-electronics-llc/74HCT6323AD-C4J/18447701,100 MHz,Up,,Divide-by-N,3,1,-40°C ~ 125°C (TA),,Asynchronous,74HCT,,Negative Edge,4.5 V ~ 5.5 V
74L192N,"Rochester Electronics, LLC",UP/DOWN DUAL CLOCK COUNTERS,pmic-gate-drivers,181,72.89,-,-,Active,https://rocelec.widen.net/view/pdf/hxqqpgnjiy/RE_DSHEET_74L192N-ROCV.pdf?t.download=true&u=h6ohhb,https://www.digikey.com/en/products/detail/rochester-electronics-llc/74L192N/12598464,,,,,,,,,,*,,,
74LS161AP-E,Renesas Electronics Corporation,SYNCHRONOUS 4-BIT BINARY COUNTER,pmic-gate-drivers,2000,1.11,-,-,Active,https://rocelec.widen.net/view/pdf/26b0wsf8xe/74LS161A.pdf,https://www.digikey.com/en/products/detail/rochester-electronics-llc/74LS161AP-E/12114950,,,,,,,,,,*,,,
74LS162APC,National Semiconductor,"DECADE COUNTER, SYNCHRONOUS",pmic-gate-drivers,14,21.43,-,-,Active,https://rocelec.widen.net/view/pdf/2wkazkmxqe/FAIRS32837-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/74LS162APC/12117345,,,,,,,,,,,,,
74LS190N,"Rochester Electronics, LLC","DECADE COUNTER, SYNCHRONOUS, BID",pmic-gate-drivers,177,36.44,-,-,Active,https://rocelec.widen.net/view/pdf/wxa6gd0duc/RE_DSHEET_74LS190N-ROCV.pdf?t.download=true&u=h6ohhb,https://www.digikey.com/en/products/detail/rochester-electronics-llc/74LS190N/12592681,,,,,,,,,,*,,,
74LS193P-E,Renesas Electronics Corporation,UP/DOWN 4-BIT BINARY COUNTER,pmic-gate-drivers,1000,1.49,-,-,Active,https://rocelec.widen.net/view/pdf/yry5go3wx0/74LS193.pdf,https://www.digikey.com/en/products/detail/rochester-electronics-llc/74LS193P-E/12118636,,,,,,,,,,*,,,
74LS390FP-E,Renesas Electronics Corporation,DECADE COUNTER,pmic-gate-drivers,1805,1.74,-,-,Active,https://rocelec.widen.net/view/pdf/nnznrkmpfj/74LS390.pdf,https://www.digikey.com/en/products/detail/rochester-electronics-llc/74LS390FP-E/12120551,,,,,,,,,,*,,,
74LS393FP-E,Renesas Electronics Corporation,DUAL 4-BIT BINARY COUNTERS,pmic-gate-drivers,7000,1.65,-,-,Active,https://rocelec.widen.net/view/pdf/axgeucfye6/74LS393.pdf,https://www.digikey.com/en/products/detail/rochester-electronics-llc/74LS393FP-E/12136543,,,,,,,,,,*,,,
74LS393P-E,Renesas Electronics Corporation,DUAL 4-BIT BINARY COUNTERS,pmic-gate-drivers,2700,1.65,-,-,Active,https://rocelec.widen.net/view/pdf/axgeucfye6/74LS393.pdf,https://www.digikey.com/en/products/detail/rochester-electronics-llc/74LS393P-E/12128085,,,,,,,,,,*,,,
74LS461ANS,"Rochester Electronics, LLC",74LS461ANS,pmic-gate-drivers,3693,30.15,-,-,Active,https://rocelec.widen.net/view/pdf/xlnedit701/MONMS00003-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/74LS461ANS/12710885,,,,,,,,,,*,,,
74LS469ANS,"Rochester Electronics, LLC",74LS469ANS,pmic-gate-drivers,1093,38.81,-,-,Active,https://rocelec.widen.net/view/pdf/3zptfy11eq/MONMS00126-1.pdf,https://www.digikey.com/en/products/detail/rochester-electronics-llc/74LS469ANS/12711343,,,,,,,,,,*,,,
74LS491ANS,"Rochester Electronics, LLC",74LS491ANS,pmic-gate-drivers,2942,38.81,-,-,Active,https://rocelec.widen.net/view/pdf/hsivnvqrz3/RE_DSHEET_74LS491ANS-ROCS.pdf?t.download=true&u=h6ohhb,https://www.digikey.com/en/products/detail/rochester-electronics-llc/74LS491ANS/12710847,,,,,,,,,,*,,,
74LS56P,"Rochester Electronics, LLC",74LS56P,pmic-gate-drivers,1590,41.28,-,-,Active,https://rocelec.widen.net/view/pdf/ib2f8yybl2/RE_DSHEET_74LS56P-ROCV.pdf?t.download=true&u=h6ohhb,https://www.digikey.com/en/products/detail/rochester-electronics-llc/74LS56P/12711684,,,,,,,,,,*,,,
"74LV393D,112",Nexperia USA Inc.,"NEXPERIA 74LV132D - NAND GATE, L",pmic-gate-drivers,4530,1.1,-,-,Active,https://assets.nexperia.com/documents/data-sheet/74LV393.pdf,https://www.digikey.com/en/products/detail/rochester-electronics-llc/74LV393D-112/15641571,,,,,,,,,,*,,,
"74LV393D,118",Nexperia USA Inc.,74LV393 - DUAL 4-BIT BINARY RIPP,pmic-gate-drivers,1015,0.33,-,-,Active,https://rocelec.widen.net/view/pdf/piovdq98ib/PHGL-S-A0001367341-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/74LV393D-118/13491723,,,,,,,,,,*,,,
74LV393D-Q100J,Nexperia USA Inc.,IC BINARY COUNTER DL 4BIT 14SO,pmic-gate-drivers,0,0.14784,"14-SOIC (0.154"", 3.90mm Width)",Surface Mount,Active,https://assets.nexperia.com/documents/data-sheet/74LV393_Q100.pdf,https://www.digikey.com/en/products/detail/nexperia-usa-inc/74LV393D-Q100J/4288243,,Up,Automotive,Binary Counter,4,2,-40°C ~ 125°C,AEC-Q100,Asynchronous,74LV,,Negative Edge,1 V ~ 3.6 V
"74LV393DB,112",Nexperia USA Inc.,"BINARY COUNTER, LV/LV-A/LVX/H SE",pmic-gate-drivers,1695,1.49,-,-,Active,https://rocelec.widen.net/view/pdf/piovdq98ib/PHGL-S-A0001367341-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/74LV393DB-112/12604514,,,,,,,,,,*,,,
"74LV393N,112",Nexperia USA Inc.,IC BINARY COUNTER DL 4BIT 14DIP,pmic-gate-drivers,1498,2.33,"14-DIP (0.300"", 7.62mm)",Through Hole,Obsolete,https://rocelec.widen.net/view/pdf/piovdq98ib/PHGL-S-A0001367341-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/74LV393N-112/11555403,20 MHz,Up,,Binary Counter,4,2,-40°C ~ 125°C,,Asynchronous,74LV,,Negative Edge,1 V ~ 3.6 V
"74LV393PW,118",Nexperia USA Inc.,IC BIN COUNTER DL 4BIT 14TSSOP,pmic-gate-drivers,4,0.27,"14-TSSOP (0.173"", 4.40mm Width)",Surface Mount,Active,https://assets.nexperia.com/documents/data-sheet/74LV393.pdf,https://www.digikey.com/en/products/detail/nexperia-usa-inc/74LV393PW-118/1231189,20 MHz,Up,,Binary Counter,4,2,-40°C ~ 125°C,,Asynchronous,74LV,,Negative Edge,1 V ~ 3.6 V
