MPN,Manufacturer,Description,Subcategory,Stock,Unit Price,Package,Mounting Type,Status,Datasheet URL,Product URL,Current - Supply,Data Rate,DigiKey Programmable,Function,Grade,Input Type,Interface,Number of Inputs,Number of Outputs,Operating Temperature,Output Type,Protocol,Qualification,Series,Standards,Voltage - Supply
"SC16IS740IPW,112",NXP Semiconductors,"Serial I/O Controller, 1 Channel",pmic-supervisors,5300,2.51,-,,Obsolete,,https://www.digikey.com/en/products/detail/flip-electronics/SC16IS740IPW-112/28140988,,,,,,,,,,,,,,*,,
"SC16IS740IPW,128",NXP USA Inc.,IC UART SINGLE W/FIFO 16-TSSOP,pmic-supervisors,24728,4.08,"16-TSSOP (0.173"", 4.40mm Width)",,Active,https://www.nxp.com/docs/en/data-sheet/SC16IS740_750_760.pdf,https://www.digikey.com/en/products/detail/nxp-usa-inc/SC16IS740IPW-128/1301043,6mA,,Not Verified,Controller,,,"I2C, SPI, UART",,,-40°C ~ 95°C,,"RS232, RS485",,,,"2.5V, 3.3V"
"SC16IS740IPW/Q900,",NXP USA Inc.,IC UART SINGLE W/FIFO 16-TSSOP,pmic-supervisors,5954,5.25,"16-TSSOP (0.173"", 4.40mm Width)",,Active,https://www.nxp.com/docs/en/data-sheet/SC16IS740_750_760.pdf,https://www.digikey.com/en/products/detail/nxp-usa-inc/SC16IS740IPW-Q900/2618560,6mA,,Not Verified,Controller,,,"I2C, SPI, UART",,,-40°C ~ 95°C,,"RS232, RS485",,,,"2.5V, 3.3V"
"SC16IS750IBS,128",NXP USA Inc.,IC UART I2C/SPI 24-HVQFN,pmic-supervisors,0,3.91,24-VFQFN Exposed Pad,,Active,https://www.nxp.com/docs/en/data-sheet/SC16IS740_750_760.pdf,https://www.digikey.com/en/products/detail/nxp-usa-inc/SC16IS750IBS-128/948939,6mA,,Not Verified,Controller,,,"I2C, SPI, UART",,,-40°C ~ 95°C,,"RS232, RS485",,,,"2.5V, 3.3V"
"SC16IS750IBS,157",NXP USA Inc.,IC UART 64BYTE 24HVQFN,pmic-supervisors,326,4.4,24-VFQFN Exposed Pad,,Obsolete,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/321/SC16IS740%2C750%2C760.pdf,https://www.digikey.com/en/products/detail/nxp-usa-inc/SC16IS750IBS-157/1158196,6mA,,Not Verified,Controller,,,"I2C, SPI, UART",,,-40°C ~ 95°C,,"RS232, RS485",,,,"2.5V, 3.3V"
"SC16IS750IPW,112",NXP USA Inc.,IC UART I2C/SPI 24-TSSOP,pmic-supervisors,0,2.63848,"24-TSSOP (0.173"", 4.40mm Width)",,Obsolete,https://www.nxp.com/docs/en/data-sheet/SC16IS740_750_760.pdf,https://www.digikey.com/en/products/detail/nxp-usa-inc/SC16IS750IPW-112/1158197,6mA,,Not Verified,Controller,,,"I2C, SPI, UART",,,-40°C ~ 95°C,,"RS232, RS485",,,,"2.5V, 3.3V"
SC16IS750IPW-S,NXP USA Inc.,IC UART I2C/SPI 24-TSSOP,pmic-supervisors,0,1.92817,"24-TSSOP (0.173"", 4.40mm Width)",,Discontinued at DigiKey,https://www.nxp.com/docs/en/data-sheet/SC16IS740_750_760.pdf,https://www.digikey.com/en/products/detail/nxp-usa-inc/SC16IS750IPW-S/946244,6mA,,Not Verified,Controller,,,"I2C, SPI, UART",,,-40°C ~ 95°C,,"RS232, RS485",,,,"2.5V, 3.3V"
SC16IS750IPW-T,NXP USA Inc.,IC UART I2C/SPI 24-TSSOP,pmic-supervisors,0,1.89985,"24-TSSOP (0.173"", 4.40mm Width)",,Obsolete,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/321/SC16IS740%2C750%2C760.pdf,https://www.digikey.com/en/products/detail/nxp-usa-inc/SC16IS750IPW-T/948940,6mA,,Not Verified,Controller,,,"I2C, SPI, UART",,,-40°C ~ 95°C,,"RS232, RS485",,,,"2.5V, 3.3V"
"SC16IS752IBS,128",NXP USA Inc.,IC UART DUAL I2C/SPI 32-HVQFN,pmic-supervisors,8500,6.26,32-VFQFN Exposed Pad,,Active,https://www.nxp.com/docs/en/data-sheet/SC16IS752_SC16IS762.pdf,https://www.digikey.com/en/products/detail/nxp-usa-inc/SC16IS752IBS-128/948941,2mA,,Not Verified,Controller,,,"I2C, SPI, UART",,,-40°C ~ 95°C,,"RS232, RS485",,,,"2.5V, 3.3V"
"SC16IS752IBS,151",NXP USA Inc.,IC UART DUAL I2C/SPI 32-HVQFN,pmic-supervisors,0,6.38,32-VFQFN Exposed Pad,,Active,https://www.nxp.com/docs/en/data-sheet/SC16IS752_SC16IS762.pdf,https://www.digikey.com/en/products/detail/nxp-usa-inc/SC16IS752IBS-151/946245,2mA,,Not Verified,Controller,,,"I2C, SPI, UART",,,-40°C ~ 95°C,,"RS232, RS485",,,,"2.5V, 3.3V"
"SC16IS752IPW,112",NXP USA Inc.,IC UART DUAL 12C/SPI 28TSSOP,pmic-supervisors,4317,5.54,"28-TSSOP (0.173"", 4.40mm Width)",,Obsolete,https://www.nxp.com/docs/en/data-sheet/SC16IS752_SC16IS762.pdf,https://www.digikey.com/en/products/detail/nxp-usa-inc/SC16IS752IPW-112/1158199,2mA,,Not Verified,Controller,,,"I2C, SPI, UART",,,-40°C ~ 95°C,,"RS232, RS485",,,,"2.5V, 3.3V"
"SC16IS752IPW,128",NXP USA Inc.,IC DUAL UART 64BYTE 28TSSOP,pmic-supervisors,13256,6.16,"28-TSSOP (0.173"", 4.40mm Width)",,Active,https://www.nxp.com/docs/en/data-sheet/SC16IS752_SC16IS762.pdf,https://www.digikey.com/en/products/detail/nxp-usa-inc/SC16IS752IPW-128/1158200,2mA,,Not Verified,Controller,,,"I2C, SPI, UART",,,-40°C ~ 95°C,,"RS232, RS485",,,,"2.5V, 3.3V"
