MPN,Manufacturer,Description,Subcategory,Stock,Unit Price,Package,Mounting Type,Status,Datasheet URL,Product URL,Grade,Logic Type,Number of Bits,Operating Temperature,Qualification,Series,Supply Voltage
MC100EP16TDT,onsemi,IC DIFFERENT RX/DRVR 8-TSSOP,clock-timing-programmable-timers-oscillators,28746,3.69,"8-TSSOP, 8-MSOP (0.118"", 3.00mm Width)",Surface Mount,Active,,https://www.digikey.com/en/products/detail/onsemi/MC100EP16TDT/11534131,,Differential Receiver/Driver,,-40°C ~ 85°C,,100EP,3V ~ 5.5V
MC100EP16TDTG,onsemi,IC DIFFERENT RX/DRVR 1BIT 8TSSOP,clock-timing-programmable-timers-oscillators,1,11.27,"8-TSSOP, 8-MSOP (0.118"", 3.00mm Width)",Surface Mount,Obsolete,,https://www.digikey.com/en/products/detail/onsemi/MC100EP16TDTG/920674,,Differential Receiver/Driver,1,-40°C ~ 85°C,,100EP,3V ~ 5.5V
MC100EP16TDTR2,onsemi,IC DIFFERENT RX/DRVR 8-TSSOP,clock-timing-programmable-timers-oscillators,15000,7.38,"8-TSSOP, 8-MSOP (0.118"", 3.00mm Width)",Surface Mount,Active,,https://www.digikey.com/en/products/detail/onsemi/MC100EP16TDTR2/11519791,,Differential Receiver/Driver,,-40°C ~ 85°C,,100EP,3V ~ 5.5V
MC100EP16TMNR4G,onsemi,IC DIFFERENT RX/DRVR 1BIT 8-DFN,clock-timing-programmable-timers-oscillators,0,7.38,8-VFDFN Exposed Pad,Surface Mount,Obsolete,,https://www.digikey.com/en/products/detail/onsemi/MC100EP16TMNR4G/1792254,,Differential Receiver/Driver,1,-40°C ~ 85°C,,100EP,3V ~ 5.5V
MC100EP16VAD,onsemi,IC DIFFERENTIAL RX/DVR 8-SOIC,clock-timing-programmable-timers-oscillators,19534,4.44,"8-SOIC (0.154"", 3.90mm Width)",Surface Mount,Active,,https://www.digikey.com/en/products/detail/onsemi/MC100EP16VAD/11509983,,Differential Receiver/Driver,,-40°C ~ 85°C,,100EP,3V ~ 5.5V
MC100EP16VADG,onsemi,IC DIFFERENTIAL RX/DVR 8-SOIC,clock-timing-programmable-timers-oscillators,68,9.96,"8-SOIC (0.154"", 3.90mm Width)",Surface Mount,Active,https://www.onsemi.com/pdf/datasheet/mc100ep16va-d.pdf,https://www.digikey.com/en/products/detail/onsemi/MC100EP16VADG/920675,,Differential Receiver/Driver,,-40°C ~ 85°C,,100EP,3V ~ 5.5V
MC100EP16VADR2,onsemi,IC DIFFERENTIAL RX/DVR 8-SOIC,clock-timing-programmable-timers-oscillators,1978,2.49,"8-SOIC (0.154"", 3.90mm Width)",Surface Mount,Active,,https://www.digikey.com/en/products/detail/onsemi/MC100EP16VADR2/11520053,,Differential Receiver/Driver,,-40°C ~ 85°C,,100EP,3V ~ 5.5V
MC100EP16VADR2G,onsemi,IC DIFFERENTIAL RX/DVR 8-SOIC,clock-timing-programmable-timers-oscillators,0,4.93,"8-SOIC (0.154"", 3.90mm Width)",Surface Mount,Obsolete,,https://www.digikey.com/en/products/detail/onsemi/MC100EP16VADR2G/1477561,,Differential Receiver/Driver,,-40°C ~ 85°C,,100EP,3V ~ 5.5V
MC100EP16VADT,onsemi,IC DIFFERENT RX/DRVR 8-TSSOP,clock-timing-programmable-timers-oscillators,0,4.2327,"8-TSSOP, 8-MSOP (0.118"", 3.00mm Width)",Surface Mount,Obsolete,,https://www.digikey.com/en/products/detail/onsemi/MC100EP16VADT/662331,,Differential Receiver/Driver,,-40°C ~ 85°C,,100EP,3V ~ 5.5V
MC100EP16VADTG,onsemi,IC DIFFERENT RX/DRVR 8-TSSOP,clock-timing-programmable-timers-oscillators,0,11.08,"8-TSSOP, 8-MSOP (0.118"", 3.00mm Width)",Surface Mount,Obsolete,https://www.onsemi.com/pdf/datasheet/mc100ep16va-d.pdf,https://www.digikey.com/en/products/detail/onsemi/MC100EP16VADTG/920676,,Differential Receiver/Driver,,-40°C ~ 85°C,,100EP,3V ~ 5.5V
MC100EP16VADTR2G,onsemi,IC DIFFERENT RX/DRVR 8-TSSOP,clock-timing-programmable-timers-oscillators,2744,11.08,"8-TSSOP, 8-MSOP (0.118"", 3.00mm Width)",Surface Mount,Active,https://www.onsemi.com/pdf/datasheet/mc100ep16va-d.pdf,https://www.digikey.com/en/products/detail/onsemi/MC100EP16VADTR2G/1477563,,Differential Receiver/Driver,,-40°C ~ 85°C,,100EP,3V ~ 5.5V
