MPN,Manufacturer,Description,Subcategory,Stock,Unit Price,Package,Mounting Type,Status,Datasheet URL,Product URL,Applications,"Current - Output High, Low",Grade,Logic Type,Number of Circuits,Number of Inputs,Operating Temperature,Output Type,Qualification,Schmitt Trigger Input,Series,Type,Voltage - Supply
AMC1351QDWVRQ1,Texas Instruments,IC AMP SPECIAL 8-SOIC,interface-controllers,2912,6.58,"8-SOIC (0.295"", 7.50mm Width)",Surface Mount,Active,https://www.ti.com/lit/ds/symlink/amc1351-q1.pdf?ts=1647898132927&ref_url=https%253A%252F%252Fwww.ti.com%252Fstore%252Fti%252Fen%252Fp%252Fproduct%252F%253Fp%253DAMC1351QDWVRQ1%2526keyMatch%253DAMC1351QDWVRQ1%2526tisearch%253Dsearch-everything%2526usecase,https://www.digikey.com/en/products/detail/texas-instruments/AMC1351QDWVRQ1/16184254,Isolated Voltage Sensing,,Automotive,,,,,,AEC-Q100,,,Isolation,
AMC3301DWER,Texas Instruments,IC AMP SPECIAL 16-SOIC,interface-controllers,2902,4.24,"16-SOIC (0.295"", 7.50mm Width)",Surface Mount,Active,https://www.ti.com/lit/ds/symlink/amc3301.pdf,https://www.digikey.com/en/products/detail/texas-instruments/AMC3301DWER/13174008,Driver,,,,,,,,,,,Isolation,
AMC3301QDWERQ1,Texas Instruments,IC AMP SPECIAL 16-SOIC,interface-controllers,872,4.92,"16-SOIC (0.295"", 7.50mm Width)",Surface Mount,Active,https://www.ti.com/lit/ds/symlink/amc3301-q1.pdf,https://www.digikey.com/en/products/detail/texas-instruments/AMC3301QDWERQ1/13173998,,,Automotive,,,,,,AEC-Q100,,,Isolation,
AMC3302DWER,Texas Instruments,IC AMP SPECIAL 16-SOIC,interface-controllers,569,4.24,"16-SOIC (0.295"", 7.50mm Width)",Surface Mount,Active,,https://www.digikey.com/en/products/detail/texas-instruments/AMC3302DWER/13896403,"Current Sensing, DC/DC Converter, Inverters",,,,,,,,,,,Isolated Amplifier,
AMC3311DWER,Texas Instruments,IC AMP SPECIAL 16-SOIC,interface-controllers,2288,6.72,"16-SOIC (0.295"", 7.50mm Width)",Surface Mount,Active,https://www.ti.com/lit/ds/symlink/amc3311.pdf?ts=1703120797281&ref_url=https%253A%252F%252Fwww.ti.com%252Fproduct%252FAMC3311%253FkeyMatch%253DAMC3311%2526tisearch%253Dsearch-everything%2526usecase%253DGPN,https://www.digikey.com/en/products/detail/texas-instruments/AMC3311DWER/22106890,"Inverters, Power Supplies",,,,,,,,,,,Isolation,
AMC3311QDWERQ1,Texas Instruments,IC AMP SPECIAL 16-SOIC,interface-controllers,4446,6.72,"16-SOIC (0.295"", 7.50mm Width)",Surface Mount,Active,https://www.ti.com/lit/ds/symlink/amc3311-q1.pdf?ts=1703167896725&ref_url=https%253A%252F%252Fwww.ti.com%252Fsitesearch%252Fen-us%252Fdocs%252Funiversalsearch.tsp%253FlangPref%253Den-US%2526searchTerm%253DAMC3311QDWERQ1%2526nr%253D2,https://www.digikey.com/en/products/detail/texas-instruments/AMC3311QDWERQ1/22106879,"Inverters, Power Supplies",,Automotive,,,,,,AEC-Q100,,,"Isolator, Error Amplifier",
CD4019BE,Texas Instruments,IC AND/OR GATE 4-CIR 2-IN 16PDIP,interface-drivers-receivers-transceivers,2642,1.14,"16-DIP (0.300"", 7.62mm)",Through Hole,Active,,https://www.digikey.com/en/products/detail/texas-instruments/CD4019BE/67257,,"6.8mA, 6.8mA",,AND/OR Gate,4,2,-55°C ~ 125°C,Single-Ended,,No,4000B,,3V ~ 18V
CD4019BM96,Texas Instruments,IC AND/OR GATE 4-CIR 2-IN 16SOIC,interface-drivers-receivers-transceivers,2604,0.54,"16-SOIC (0.154"", 3.90mm Width)",Surface Mount,Active,,https://www.digikey.com/en/products/detail/texas-instruments/CD4019BM96/1690842,,"6.8mA, 6.8mA",,AND/OR Gate,4,2,-55°C ~ 125°C,Single-Ended,,No,4000B,,3V ~ 18V
CD4068BE,Texas Instruments,IC NAND/AND GATE 1-CIR 14-PDIP,interface-drivers-receivers-transceivers,1113,1.08,"14-DIP (0.300"", 7.62mm)",Through Hole,Active,,https://www.digikey.com/en/products/detail/texas-instruments/CD4068BE/525931,,"6.8mA, 6.8mA",,NAND/AND Gate,1,8,-55°C ~ 125°C,Single-Ended,,No,4000B,,3V ~ 18V
CD4068BM96,Texas Instruments,IC NAND/AND GATE 1-CIR 14-SOIC,interface-drivers-receivers-transceivers,12539,0.85,"14-SOIC (0.154"", 3.90mm Width)",Surface Mount,Active,,https://www.digikey.com/en/products/detail/texas-instruments/CD4068BM96/571314,,"6.8mA, 6.8mA",,NAND/AND Gate,1,8,-55°C ~ 125°C,Single-Ended,,No,4000B,,3V ~ 18V
